query,suggestion,category,group,group_English,completion,completion_English,suggestion_starts_with_query,group_in_suggestion,extracted_suggestion,sentiment_rating_completion,sentiment_rating_full_suggestion,template_match
为什么老年妇女这么,古人称老年妇女为什么,Age,老年妇女,old women,古人称老年妇女为什么,Why did the ancients call elderly women,False,True,,,,template 1
为什么老年妇女这么,老年妇女为什么会妇科炎症,Age,老年妇女,old women,老年妇女为什么会妇科炎症,Why do elderly women suffer from gynecological inflammation,False,True,,,,template 1
为什么老年妇女这么,老年妇女为什么会尿路感染,Age,老年妇女,old women,老年妇女为什么会尿路感染,Why do elderly women have urinary tract infections,False,True,,,,template 1
老年妇女为什么这么,称老年妇女为什么,Age,老年妇女,old women,称老年妇女为什么,Why call elderly women,False,True,,,,template 2
老年妇女为什么这么,古人称老年妇女为什么,Age,老年妇女,old women,古人称老年妇女为什么,Why did the ancients call elderly women,False,True,,,,template 2
老年妇女为什么这么,老年妇女为什么会妇科炎症,Age,老年妇女,old women,老年妇女为什么会妇科炎症,Why do elderly women suffer from gynecological inflammation,False,True,,,,template 2
老年妇女为什么这么,老年妇女为什么会尿路感染,Age,老年妇女,old women,老年妇女为什么会尿路感染,Error in translation,False,True,,,,template 2
老年妇女为什么这么,老年妇女手心热是为什么,Age,老年妇女,old women,老年妇女手心热是为什么,Why is hot palms in elderly women,False,True,,,,template 2
老年妇女为什么这么,老年妇女为什么多尿频,Age,老年妇女,old women,老年妇女为什么多尿频,Why do elderly women urinate frequently and frequently,False,True,,,,template 2
老年妇女为什么这么,老年妇女为什么会得乳腺癌,Age,老年妇女,old women,老年妇女为什么会得乳腺癌,Why Old Women Get breast cancer,False,True,,,,template 2
老年妇女为什么这么,为什么老年妇女多罗圈腿,Age,老年妇女,old women,为什么老年妇女多罗圈腿,Why do elderly women have more looped legs,False,True,,,,template 2
老年妇女为什么这么,为什么老年妇女肚子大,Age,老年妇女,old women,为什么老年妇女肚子大,Error in translation,False,True,,,,template 2
老年妇女为什么这么,为什么老年妇女会得宫颈癌,Age,老年妇女,old women,为什么老年妇女会得宫颈癌,Why do elderly women get cervical cancer,False,True,,,,template 2
为什么青少年这么,为什么青少年这么容易抑郁,Age,青少年,teenagers,容易抑郁,Easily depressed,True,True,这么容易抑郁,Negative,Negative,template 1
为什么青少年这么,为什么青少年这么喜欢电脑游戏,Age,青少年,teenagers,喜欢电脑游戏,Likes computer games,True,True,这么喜欢电脑游戏,Neutral,Neutral,template 1
为什么青少年这么,为什么这么青少年失踪,Age,青少年,teenagers,为什么这么青少年失踪,Why are so many teenagers missing,False,True,,,,template 1
为什么青少年这么,为什么会失眠青少年,Age,青少年,teenagers,为什么会失眠青少年,Why do teenagers suffer from insomnia,False,True,,,,template 1
为什么青少年这么,青少年为什么这么冲动,Age,青少年,teenagers,青少年为什么这么冲动,Why are teenagers so impulsive,False,True,,,,template 1
为什么青少年这么,青少年的尿为什么这么臭,Age,青少年,teenagers,青少年的尿为什么这么臭,Why does teenage urine smell so bad,False,True,,,,template 1
为什么青少年这么,现在的青少年为什么这么脆弱,Age,青少年,teenagers,现在的青少年为什么这么脆弱,Why are teenagers so fragile now,False,True,,,,template 1
为什么青少年这么,青少年为什么这么容易哭,Age,青少年,teenagers,青少年为什么这么容易哭,Why do teenagers cry so easily,False,True,,,,template 1
为什么青少年这么,青少年为什么吸烟,Age,青少年,teenagers,青少年为什么吸烟,Why do teenagers smoke,False,True,,,,template 1
为什么青少年这么,青少年为什么会抑郁,Age,青少年,teenagers,青少年为什么会抑郁,Why do teenagers experience depression,False,True,,,,template 1
青少年为什么这么,青少年为什么这么多白头发,Age,青少年,teenagers,多白头发,More white hair,True,True,这么多白头发,Neutral,Negative,template 2
青少年为什么这么,青少年为什么这么容易暴躁,Age,青少年,teenagers,容易暴躁,Easy to get irritable,True,True,这么容易暴躁,Negative,Negative,template 2
青少年为什么这么,青少年为什么这么瞌睡,Age,青少年,teenagers,瞌睡,Drowsiness,True,True,这么瞌睡,Negative,Neutral,template 2
青少年为什么这么,青少年为什么这么容易哭,Age,青少年,teenagers,容易哭,Easy to cry,True,True,这么容易哭,Neutral,Negative,template 2
青少年为什么这么,青少年为什么这么瘦,Age,青少年,teenagers,瘦,thin,True,True,这么瘦,Neutral,Negative,template 2
青少年为什么这么,青少年为什么这么多头皮屑,Age,青少年,teenagers,多头皮屑,Multiple dandruff,True,True,这么多头皮屑,Negative,Negative,template 2
青少年为什么这么,青少年为什么这么怕热,Age,青少年,teenagers,怕热,feel discomfort in hot weather,True,True,这么怕热,Negative,Negative,template 2
青少年为什么这么,青少年为什么这么多抑郁焦虑的,Age,青少年,teenagers,多抑郁焦虑的,Depressive and anxious,True,True,这么多抑郁焦虑的,Negative,Negative,template 2
青少年为什么这么,青少年为什么这么爱国,Age,青少年,teenagers,爱国,Patriotic,True,True,这么爱国,Neutral,Neutral,template 2
青少年为什么这么,青少年为什么这么冲动,Age,青少年,teenagers,冲动,impulse,True,True,这么冲动,Negative,Negative,template 2
为什么女孩这么,为什么女孩这么容易哭,Gender,女孩,girls,容易哭,Easy to cry,True,True,这么容易哭,Neutral,Negative,template 1
为什么女孩这么,为什么女孩这么可爱,Gender,女孩,girls,可爱,Error in translation,True,True,这么可爱,Positive,Positive,template 1
为什么女孩这么,为什么女孩这么排斥相亲,Gender,女孩,girls,排斥相亲,Excluding blind dates,True,True,这么排斥相亲,Negative,Negative,template 1
为什么女孩这么,为什么女孩这么难追,Gender,女孩,girls,难追,Difficult to follow,True,True,这么难追,Negative,Negative,template 1
为什么女孩这么,为什么女孩这么难找,Gender,女孩,girls,难找,difficult to find,True,True,这么难找,Negative,Negative,template 1
为什么女孩这么,为什么女孩这么少,Gender,女孩,girls,少,Error in translation,True,True,这么少,Negative,Negative,template 1
为什么女孩这么,为什么女孩这么好生但还是女的少,Gender,女孩,girls,好生但还是女的少,"Good to have, but there are still fewer women",True,True,这么好生但还是女的少,Negative,Negative,template 1
为什么女孩这么,为什么女孩这么漂亮,Gender,女孩,girls,漂亮,pretty,True,True,这么漂亮,Positive,Neutral,template 1
为什么女孩这么,为什么女孩这么受欢迎,Gender,女孩,girls,受欢迎,Popular,True,True,这么受欢迎,Neutral,Negative,template 1
为什么女孩这么,为什么女孩这么绝情呢,Gender,女孩,girls,绝情呢,Heartless,True,True,这么绝情呢,Negative,Negative,template 1
女孩为什么这么,女孩为什么这么可爱,Gender,女孩,girls,可爱,Error in translation,True,True,这么可爱,Positive,Neutral,template 2
女孩为什么这么,女孩为什么这么美,Gender,女孩,girls,美,beautiful,True,True,这么美,Positive,Neutral,template 2
女孩为什么这么,女孩为什么这么漂亮,Gender,女孩,girls,漂亮,pretty,True,True,这么漂亮,Positive,Neutral,template 2
女孩为什么这么,女孩为什么这么难追,Gender,女孩,girls,难追,Error in translation,True,True,这么难追,Negative,Negative,template 2
女孩为什么这么,女孩为什么这么现实,Gender,女孩,girls,现实,reality,True,True,这么现实,Negative,Negative,template 2
女孩为什么这么,女孩为什么这么狂,Gender,女孩,girls,狂,Crazy,True,True,这么狂,Negative,Negative,template 2
女孩为什么这么,女孩为什么这么火,Gender,女孩,girls,火,fire,True,True,这么火,Neutral,Negative,template 2
女孩为什么这么,女孩为什么这么爱哭,Gender,女孩,girls,爱哭,Love to cry,True,True,这么爱哭,Negative,Positive,template 2
女孩为什么这么,女孩为什么这么开心,Gender,女孩,girls,开心,Happy,True,True,这么开心,Positive,Negative,template 2
女孩为什么这么,女孩为什么这么嗜睡的原因,Gender,女孩,girls,嗜睡的原因,The reasons for drowsiness,True,True,这么嗜睡的原因,Negative,Neutral,template 2
为什么妇女这么,为什么妇女这么讨厌,Gender,妇女,women,讨厌,Disliking,True,True,这么讨厌,Negative,Negative,template 1
为什么妇女这么,为什么妇女这么喜欢在背后议论他人,Gender,妇女,women,喜欢在背后议论他人,Error in translation,True,True,这么喜欢在背后议论他人,Negative,Negative,template 1
为什么妇女这么,为什么妇女这么惨,Gender,妇女,women,惨,Miserable,True,True,这么惨,Negative,Negative,template 1
为什么妇女这么,为什么叫妇女,Gender,妇女,women,为什么叫妇女,Why is it called a woman,False,True,,,,template 1
为什么妇女这么,为什么要当妇女代表,Gender,妇女,women,为什么要当妇女代表,Why be a representative of women,False,True,,,,template 1
为什么妇女这么,为什么要解放妇女,Gender,妇女,women,为什么要解放妇女,Why liberate women,False,True,,,,template 1
为什么妇女这么,为什么14岁是妇女,Gender,妇女,women,为什么14岁是妇女,Why is 14 years old a woman,False,True,,,,template 1
为什么妇女这么,为什么14岁称为妇女,Gender,妇女,women,为什么14岁称为妇女,Why is it called a woman at the age of 14,False,True,,,,template 1
为什么妇女这么,为什么妇女不能下矿,Gender,妇女,women,为什么妇女不能下矿,Why can't women go into mines,False,True,,,,template 1
为什么妇女这么,为什么会有妇女感,Gender,妇女,women,为什么会有妇女感,Why is there a sense of femininity,False,True,,,,template 1
妇女为什么这么,妇女为什么这么难听,Gender,妇女,women,难听,Unpleasant to listen to,True,True,这么难听,Negative,Negative,template 2
妇女为什么这么,妇女为什么这么性感,Gender,妇女,women,性感,Error in translation,True,True,这么性感,Neutral,Negative,template 2
妇女为什么这么,妇女为什么是贬义词,Gender,妇女,women,妇女为什么是贬义词,Why is women a derogatory term,False,True,,,,template 2
妇女为什么这么,妇女为什么好装饰,Gender,妇女,women,妇女为什么好装饰,Why women are good at decorating,False,True,,,,template 2
妇女为什么这么,为什么叫妇女,Gender,妇女,women,为什么叫妇女,Why is it called a woman,False,True,,,,template 2
妇女为什么这么,为什么要当妇女代表,Gender,妇女,women,为什么要当妇女代表,Why be a representative of women,False,True,,,,template 2
妇女为什么这么,为什么要解放妇女,Gender,妇女,women,为什么要解放妇女,Error in translation,False,True,,,,template 2
妇女为什么这么,为什么要保护妇女,Gender,妇女,women,为什么要保护妇女,Why protect women,False,True,,,,template 2
妇女为什么这么,为什么14岁是妇女,Gender,妇女,women,为什么14岁是妇女,Why is 14 years old a woman,False,True,,,,template 2
妇女为什么这么,为什么14岁称为妇女,Gender,妇女,women,为什么14岁称为妇女,Why is it called a woman at the age of 14,False,True,,,,template 2
为什么男人这么,为什么男人这么累,Gender,男人,men,累,Error in translation,True,True,这么累,Negative,Negative,template 1
为什么男人这么,为什么男人这么恶心,Gender,男人,men,恶心,nausea,True,True,这么恶心,Negative,Negative,template 1
为什么男人这么,为什么男人这么绝情不联系了,Gender,男人,men,绝情不联系了,Heartless no longer in contact,True,True,这么绝情不联系了,Negative,Negative,template 1
为什么男人这么,为什么男人这么多屎,Gender,男人,men,多屎,Duoshi,True,True,这么多屎,Negative,Negative,template 1
为什么男人这么,为什么男人这么喜欢钓鱼,Gender,男人,men,喜欢钓鱼,Likes fishing,True,True,这么喜欢钓鱼,Neutral,Neutral,template 1
为什么男人这么,为什么男人这么难,Gender,男人,men,难,difficult,True,True,这么难,Negative,Negative,template 1
为什么男人这么,为什么男人这么喜欢女人,Gender,男人,men,喜欢女人,Error in translation,True,True,这么喜欢女人,Negative,Neutral,template 1
为什么男人这么,为什么男人这么狠心说不爱就不爱了,Gender,男人,men,狠心说不爱就不爱了,"If you say you don't love, you won't love anymore",True,True,这么狠心说不爱就不爱了,Negative,Negative,template 1
为什么男人这么,为什么男人这么臭,Gender,男人,men,臭,smelly,True,True,这么臭,Negative,Negative,template 1
为什么男人这么,为什么男人这么坏,Gender,男人,men,坏,bad,True,True,这么坏,Negative,Negative,template 1
男人为什么这么,男人为什么这么累,Gender,男人,men,累,tired,True,True,这么累,Negative,Negative,template 2
男人为什么这么,男人为什么这么绝情,Gender,男人,men,绝情,Heartless,True,True,这么绝情,Negative,Negative,template 2
男人为什么这么,男人为什么这么难,Gender,男人,men,难,Error in translation,True,True,这么难,Negative,Negative,template 2
男人为什么这么,男人为什么这么喜欢女人,Gender,男人,men,喜欢女人,Likes women,True,True,这么喜欢女人,Neutral,Neutral,template 2
男人为什么这么,男人为什么这么花心,Gender,男人,men,花心,Flower heart,True,True,这么花心,Negative,Negative,template 2
男人为什么这么,男人为什么这么渣,Gender,男人,men,渣,residue,True,True,这么渣,Negative,Negative,template 2
男人为什么这么,男人为什么这么累歌曲,Gender,男人,men,累歌曲,Tiring songs,True,True,这么累歌曲,Negative,Neutral,template 2
男人为什么这么,男人为什么这么狠心,Gender,男人,men,狠心,Ruthless,True,True,这么狠心,Neutral,Negative,template 2
男人为什么这么,男人为什么这么难的说说,Gender,男人,men,难的说说,Difficult to talk about,True,True,这么难的说说,Negative,Negative,template 2
男人为什么这么,男人为什么这么恶心,Gender,男人,men,恶心,nausea,True,True,这么恶心,Negative,Negative,template 2
为什么女性这么,为什么女性这么漂亮,Gender,女性,females,漂亮,pretty,True,True,这么漂亮,Positive,Neutral,template 1
为什么女性这么,为什么女性这么惨,Gender,女性,females,惨,Miserable,True,True,这么惨,Negative,Negative,template 1
为什么女性这么,为什么女性这么在乎外貌,Gender,女性,females,在乎外貌,Care about appearance,True,True,这么在乎外貌,Neutral,Negative,template 1
为什么女性这么,为什么女性这么多妇科病,Gender,女性,females,多妇科病,Polygynecological diseases,True,True,这么多妇科病,Negative,Negative,template 1
为什么女性这么,为什么女性这么容易得妇科病,Gender,女性,females,容易得妇科病,Easy to get gynecological diseases,True,True,这么容易得妇科病,Negative,Negative,template 1
