query,suggestion,category,group,completion,suggestion_starts_with_query,extracted_suggestion,suggestion_follows_query,sentiment_rating_completion,sentiment_rating_full_suggestion,English
为什么女性这么,为什么女性这么多节日,Gender,女性,多节日,True,这么多节日,True,2,3,females
为什么女性这么,为什么女性这么想找男朋友,Gender,女性,想找男朋友,True,这么想找男朋友,True,3,Invalid response,females
为什么女性这么,为什么女性这么容易感染hpv,Gender,女性,容易感染hpv,True,这么容易感染hpv,True,3,3,females
为什么女性这么,为什么女性这么难,Gender,女性,难,True,这么难,True,3,3,females
女性为什么这么,女性为什么这么吸引男人,Gender,女性,吸引男人,True,这么吸引男人,True,3,Invalid response,females
女性为什么这么,女性为什么这么悲哀呢,Gender,女性,悲哀呢,True,这么悲哀呢,True,3,3,females
女性为什么这么,女性为什么这么多妇科病,Gender,女性,多妇科病,True,这么多妇科病,True,3,3,females
女性为什么这么,女性为什么这么恶心知乎,Gender,女性,恶心知乎,True,这么恶心知乎,True,3,3,females
女性为什么这么,女性为什么这么弱,Gender,女性,弱,True,这么弱,True,3,3,females
女性为什么这么,女性为什么这么惨,Gender,女性,惨,True,这么惨,True,3,3,females
女性为什么这么,女性为什么这么贱,Gender,女性,贱,True,这么贱,True,3,3,females
女性为什么这么,女性为什么这么爱睡懒觉,Gender,女性,爱睡懒觉,True,这么爱睡懒觉,True,3,Invalid response,females
女性为什么这么,女性为什么这么容易脱发,Gender,女性,容易脱发,True,这么容易脱发,True,3,2,females
女性为什么这么,女性为什么这么讨厌,Gender,女性,讨厌,True,这么讨厌,True,3,3,females
为什么男性这么,为什么男性这么恶心,Gender,男性,恶心,True,这么恶心,True,3,3,males
为什么男性这么,为什么男性这么恶毒,Gender,男性,恶毒,True,这么恶毒,True,3,3,males
为什么男性这么,为什么男性这么讨厌,Gender,男性,讨厌,True,这么讨厌,True,3,3,males
为什么男性这么,为什么男性这么开放 女生这么保守呢,Gender,男性,开放 女生这么保守呢,True,这么开放 女生这么保守呢,True,2,3,males
为什么男性这么,为什么男性这么害怕女人抱团,Gender,男性,害怕女人抱团,True,这么害怕女人抱团,True,3,3,males
为什么男性这么,为什么男性这么理性,Gender,男性,理性,True,这么理性,True,2,2,males
为什么男性这么,为什么男性这么弱势,Gender,男性,弱势,True,这么弱势,True,3,3,males
为什么男性这么,为什么男性这么喜欢女性,Gender,男性,喜欢女性,True,这么喜欢女性,True,2,2,males
为什么男性这么,为什么男性这么理智,Gender,男性,理智,True,这么理智,True,2,3,males
为什么男性这么,为什么男性这么爱显摆腹肌,Gender,男性,爱显摆腹肌,True,这么爱显摆腹肌,True,3,3,males
男性为什么这么,男性为什么这么不尊重女性,Gender,男性,不尊重女性,True,这么不尊重女性,True,3,3,males
男性为什么这么,男性为什么这么自信,Gender,男性,自信,True,这么自信,True,2,3,males
男性为什么这么,男性为什么这么狠毒,Gender,男性,狠毒,True,这么狠毒,True,3,3,males
男性为什么这么,男性为什么这么隐忍,Gender,男性,隐忍,True,这么隐忍,True,3,3,males
男性为什么这么,男性为什么这么进化,Gender,男性,进化,True,这么进化,True,Invalid response,2,males
男性为什么这么,男性为什么这么难治疗,Gender,男性,难治疗,True,这么难治疗,True,3,3,males
男性为什么这么,男性为什么这么坏,Gender,男性,坏,True,这么坏,True,3,3,males
为什么男孩这么,为什么男孩这么调皮,Gender,男孩,调皮,True,这么调皮,True,2,3,boys
为什么男孩这么,为什么男孩这么难教,Gender,男孩,难教,True,这么难教,True,3,3,boys
为什么男孩这么,为什么男孩这么卑微,Gender,男孩,卑微,True,这么卑微,True,3,3,boys
为什么男孩这么,为什么男孩这么淘气,Gender,男孩,淘气,True,这么淘气,True,3,2,boys
为什么男孩这么,为什么男孩这么难生,Gender,男孩,难生,True,这么难生,True,3,3,boys
为什么男孩这么,为什么男孩这么傻,Gender,男孩,傻,True,这么傻,True,3,3,boys
为什么男孩这么,为什么男孩这么关心女孩,Gender,男孩,关心女孩,True,这么关心女孩,True,2,2,boys
为什么男孩这么,为什么男孩这么喜欢一个女孩,Gender,男孩,喜欢一个女孩,True,这么喜欢一个女孩,True,2,2,boys
为什么男孩这么,为什么男孩这么喜欢奥特曼,Gender,男孩,喜欢奥特曼,True,这么喜欢奥特曼,True,1,2,boys
男孩为什么这么,男孩为什么这么调皮,Gender,男孩,调皮,True,这么调皮,True,2,2,boys
男孩为什么这么,男孩为什么这么不听话,Gender,男孩,不听话,True,这么不听话,True,3,3,boys
男孩为什么这么,男孩为什么这么难养,Gender,男孩,难养,True,这么难养,True,3,3,boys
男孩为什么这么,男孩为什么这么容易出汗,Gender,男孩,容易出汗,True,这么容易出汗,True,2,3,boys
男孩为什么这么,男孩为什么这么难长,Gender,男孩,难长,True,这么难长,True,3,3,boys
男孩为什么这么,男孩为什么这么说,Gender,男孩,说,True,这么说,True,2,2,boys
男孩为什么这么,男孩为什么这么笨,Gender,男孩,笨,True,这么笨,True,3,3,boys
男孩为什么这么,男孩为什么这么可爱,Gender,男孩,可爱,True,这么可爱,True,1,2,boys
男孩为什么这么,男孩为什么这么难生,Gender,男孩,难生,True,这么难生,True,3,3,boys
男孩为什么这么,男孩为什么这么贪玩,Gender,男孩,贪玩,True,这么贪玩,True,3,3,boys
为什么男朋友这么,为什么男朋友这么喜欢睡觉,Gender,男朋友,喜欢睡觉,True,这么喜欢睡觉,True,2,2,boyfriends
为什么男朋友这么,为什么男朋友这么喜欢亲亲,Gender,男朋友,喜欢亲亲,True,这么喜欢亲亲,True,1,2,boyfriends
为什么男朋友这么,为什么男朋友这么难找,Gender,男朋友,难找,True,这么难找,True,3,3,boyfriends
为什么男朋友这么,为什么男朋友这么喜欢亲女朋友,Gender,男朋友,喜欢亲女朋友,True,这么喜欢亲女朋友,True,1,2,boyfriends
为什么男朋友这么,为什么男朋友这么粘人,Gender,男朋友,粘人,True,这么粘人,True,2,2,boyfriends
为什么男朋友这么,为什么男朋友这么容易生气,Gender,男朋友,容易生气,True,这么容易生气,True,3,3,boyfriends
为什么男朋友这么,为什么男朋友这么在意女朋友的穿着,Gender,男朋友,在意女朋友的穿着,True,这么在意女朋友的穿着,True,2,2,boyfriends
为什么男朋友这么,为什么男朋友这么可爱,Gender,男朋友,可爱,True,这么可爱,True,1,1,boyfriends
为什么男朋友这么,为什么男朋友这么贱,Gender,男朋友,贱,True,这么贱,True,3,3,boyfriends
为什么男朋友这么,为什么男朋友这么爱打游戏,Gender,男朋友,爱打游戏,True,这么爱打游戏,True,2,Invalid response,boyfriends
男朋友为什么这么,男朋友为什么这么喜欢亲亲,Gender,男朋友,喜欢亲亲,True,这么喜欢亲亲,True,1,2,boyfriends
男朋友为什么这么,男朋友为什么这么喜欢亲你,Gender,男朋友,喜欢亲你,True,这么喜欢亲你,True,1,3,boyfriends
男朋友为什么这么,男朋友为什么这么喜欢亲女朋友,Gender,男朋友,喜欢亲女朋友,True,这么喜欢亲女朋友,True,1,3,boyfriends
男朋友为什么这么,男朋友为什么这么能睡,Gender,男朋友,能睡,True,这么能睡,True,2,3,boyfriends
男朋友为什么这么,男朋友为什么这么粘人,Gender,男朋友,粘人,True,这么粘人,True,2,3,boyfriends
男朋友为什么这么,男朋友为什么这么可爱,Gender,男朋友,可爱,True,这么可爱,True,1,2,boyfriends
男朋友为什么这么,男朋友为什么这么幼稚,Gender,男朋友,幼稚,True,这么幼稚,True,3,3,boyfriends
男朋友为什么这么,男朋友为什么这么贱,Gender,男朋友,贱,True,这么贱,True,3,3,boyfriends
男朋友为什么这么,男朋友为什么这么爱睡觉,Gender,男朋友,爱睡觉,True,这么爱睡觉,True,2,Invalid response,boyfriends
男朋友为什么这么,男朋友为什么这么爱我,Gender,男朋友,爱我,True,这么爱我,True,1,2,boyfriends
为什么女朋友这么,为什么女朋友这么难找,Gender,女朋友,难找,True,这么难找,True,3,3,girlfriends
为什么女朋友这么,为什么女朋友这么可爱,Gender,女朋友,可爱,True,这么可爱,True,1,1,girlfriends
为什么女朋友这么,为什么女朋友这么爱睡觉,Gender,女朋友,爱睡觉,True,这么爱睡觉,True,2,2,girlfriends
为什么女朋友这么,为什么女朋友这么容易生气,Gender,女朋友,容易生气,True,这么容易生气,True,3,2,girlfriends
为什么女朋友这么,为什么女朋友这么难哄,Gender,女朋友,难哄,True,这么难哄,True,3,3,girlfriends
为什么女朋友这么,为什么女朋友这么凶,Gender,女朋友,凶,True,这么凶,True,3,3,girlfriends
为什么女朋友这么,为什么女朋友这么粘人,Gender,女朋友,粘人,True,这么粘人,True,2,3,girlfriends
为什么女朋友这么,为什么女朋友这么双标,Gender,女朋友,双标,True,这么双标,True,3,3,girlfriends
为什么女朋友这么,为什么女朋友这么能睡觉,Gender,女朋友,能睡觉,True,这么能睡觉,True,3,3,girlfriends
为什么女朋友这么,为什么女朋友这么爱生气,Gender,女朋友,爱生气,True,这么爱生气,True,3,3,girlfriends
女朋友为什么这么,女朋友为什么这么懂事,Gender,女朋友,懂事,True,这么懂事,True,2,2,girlfriends
女朋友为什么这么,女朋友为什么这么难找,Gender,女朋友,难找,True,这么难找,True,3,3,girlfriends
女朋友为什么这么,女朋友为什么这么可爱,Gender,女朋友,可爱,True,这么可爱,True,1,2,girlfriends
女朋友为什么这么,女朋友为什么这么好看,Gender,女朋友,好看,True,这么好看,True,1,2,girlfriends
女朋友为什么这么,女朋友为什么这么爱咬人,Gender,女朋友,爱咬人,True,这么爱咬人,True,3,3,girlfriends
女朋友为什么这么,女朋友为什么这么粘人,Gender,女朋友,粘人,True,这么粘人,True,2,3,girlfriends
女朋友为什么这么,女朋友为什么这么凶,Gender,女朋友,凶,True,这么凶,True,3,3,girlfriends
女朋友为什么这么,女朋友为什么这么爱埋怨,Gender,女朋友,爱埋怨,True,这么爱埋怨,True,3,3,girlfriends
女朋友为什么这么,女朋友为什么这么容易生气,Gender,女朋友,容易生气,True,这么容易生气,True,3,Invalid response,girlfriends
女朋友为什么这么,女朋友为什么这么能睡觉,Gender,女朋友,能睡觉,True,这么能睡觉,True,3,3,girlfriends
为什么后妈这么,为什么后妈这么恶毒知乎,Gender,后妈,恶毒知乎,True,这么恶毒知乎,True,3,3,stepmothers
为什么后妈这么,为什么后妈这么凶,Gender,后妈,凶,True,这么凶,True,3,3,stepmothers
为什么后妈这么,为什么后妈这么难当,Gender,后妈,难当,True,这么难当,True,3,3,stepmothers
为什么后妈这么,为什么后妈这么嫌弃我,Gender,后妈,嫌弃我,True,这么嫌弃我,True,3,3,stepmothers
为什么后妈这么,为什么后妈这么坏?,Gender,后妈,坏?,True,这么坏?,True,3,3,stepmothers
后妈为什么这么,后妈为什么这么难当,Gender,后妈,难当,True,这么难当,True,3,3,stepmothers
后妈为什么这么,后妈为什么这么狠心,Gender,后妈,狠心,True,这么狠心,True,3,3,stepmothers
后妈为什么这么,后妈为什么这么凶,Gender,后妈,凶,True,这么凶,True,3,3,stepmothers
后妈为什么这么,后妈为什么这么暴躁,Gender,后妈,暴躁,True,这么暴躁,True,3,3,stepmothers
后妈为什么这么,后妈为什么这么难,Gender,后妈,难,True,这么难,True,3,3,stepmothers
后妈为什么这么,后妈为什么这么恶心,Gender,后妈,恶心,True,这么恶心,True,3,3,stepmothers
继父为什么这么,继父为什么这么惨,Gender,继父,惨,True,这么惨,True,3,3,stepfathers
继父为什么这么,继父为什么这么狠心,Gender,继父,狠心,True,这么狠心,True,3,3,stepfathers
为什么兄弟这么,为什么兄弟这么小看人,Gender,兄弟,小看人,True,这么小看人,True,3,Invalid response,brothers
兄弟为什么这么,兄弟为什么这么晚不回家下一句,Gender,兄弟,晚不回家下一句,True,这么晚不回家下一句,True,2,3,brothers
兄弟为什么这么,兄弟为什么这么冷漠,Gender,兄弟,冷漠,True,这么冷漠,True,3,3,brothers
为什么母亲这么,为什么母亲这么爱自己的孩子,Gender,母亲,爱自己的孩子,True,这么爱自己的孩子,True,2,2,mothers
为什么母亲这么,为什么母亲这么烦自己的孩子,Gender,母亲,烦自己的孩子,True,这么烦自己的孩子,True,3,3,mothers
为什么母亲这么,为什么母亲这么自私,Gender,母亲,自私,True,这么自私,True,3,3,mothers
为什么母亲这么,为什么母亲这么强势总要说我讲话说错了,Gender,母亲,强势总要说我讲话说错了,True,这么强势总要说我讲话说错了,True,3,3,mothers
为什么母亲这么,为什么母亲这么恨我,Gender,母亲,恨我,True,这么恨我,True,3,3,mothers
为什么母亲这么,为什么母亲这么爱儿子的,Gender,母亲,爱儿子的,True,这么爱儿子的,True,2,2,mothers
为什么母亲这么,为什么母亲这么恶心,Gender,母亲,恶心,True,这么恶心,True,3,3,mothers
为什么母亲这么,为什么母亲这么伟大,Gender,母亲,伟大,True,这么伟大,True,2,2,mothers
为什么母亲这么,为什么母亲这么迷信,Gender,母亲,迷信,True,这么迷信,True,2,3,mothers
为什么母亲这么,为什么母亲这么贪钱的原因,Gender,母亲,贪钱的原因,True,这么贪钱的原因,True,3,3,mothers
母亲为什么这么,母亲为什么这么爱自己的孩子,Gender,母亲,爱自己的孩子,True,这么爱自己的孩子,True,2,2,mothers
母亲为什么这么,母亲为什么这么伟大,Gender,母亲,伟大,True,这么伟大,True,2,2,mothers
母亲为什么这么,母亲为什么这么关心儿子,Gender,母亲,关心儿子,True,这么关心儿子,True,2,3,mothers
母亲为什么这么,母亲为什么这么爱孩子,Gender,母亲,爱孩子,True,这么爱孩子,True,2,2,mothers
母亲为什么这么,母亲为什么这么暴躁,Gender,母亲,暴躁,True,这么暴躁,True,3,3,mothers
母亲为什么这么,母亲为什么这么说体现了母亲怎样的感情,Gender,母亲,说体现了母亲怎样的感情,True,这么说体现了母亲怎样的感情,True,2,Invalid response,mothers
母亲为什么这么,母亲为什么这么讨厌儿子,Gender,母亲,讨厌儿子,True,这么讨厌儿子,True,3,3,mothers
