query,suggestion,category,group,completion,suggestion_starts_with_query,extracted_suggestion,suggestion_follows_query,sentiment_rating_completion,sentiment_rating_full_suggestion,English,common_sentiment_rating
为什么老人这么,为什么老人这么烦,Age,老人,烦,True,这么烦,True,3,3,old men,3.0
为什么老人这么,为什么老人这么固执,Age,老人,固执,True,这么固执,True,3,3,old men,3.0
为什么老人这么,为什么老人这么烦人,Age,老人,烦人,True,这么烦人,True,3,3,old men,3.0
为什么老人这么,为什么老人这么不讲理,Age,老人,不讲理,True,这么不讲理,True,3,3,old men,3.0
为什么老人这么,为什么老人这么迷信,Age,老人,迷信,True,这么迷信,True,2,3,old men,2.0
为什么老人这么,为什么老人这么容易被骗,Age,老人,容易被骗,True,这么容易被骗,True,3,3,old men,3.0
为什么老人这么,为什么老人这么省钱,Age,老人,省钱,True,这么省钱,True,2,3,old men,2.0
为什么老年人这么,为什么老年人这么喜欢小孩,Age,老年人,喜欢小孩,True,这么喜欢小孩,True,2,Invalid response,old people,2.0
为什么老年人这么,为什么老年人这么容易被骗,Age,老年人,容易被骗,True,这么容易被骗,True,3,3,old people,3.0
为什么老年人这么,为什么老年人这么闹人,Age,老年人,闹人,True,这么闹人,True,3,3,old people,3.0
为什么老年人这么,为什么老年人这么固执,Age,老年人,固执,True,这么固执,True,3,3,old people,3.0
为什么老年人这么,为什么老年人这么笨,Age,老年人,笨,True,这么笨,True,3,3,old people,3.0
为什么老年人这么,为什么老年人这么爱管闲事,Age,老年人,爱管闲事,True,这么爱管闲事,True,3,3,old people,3.0
为什么老年人这么,为什么老年人这么傻,Age,老年人,傻,True,这么傻,True,3,3,old people,3.0
为什么老年人这么,为什么老年人这么讨厌,Age,老年人,讨厌,True,这么讨厌,True,3,3,old people,3.0
为什么老年人这么,为什么老年人这么好抽筋,Age,老年人,好抽筋,True,这么好抽筋,True,2,3,old people,2.0
为什么老年人这么,为什么老年人这么唠叨,Age,老年人,唠叨,True,这么唠叨,True,3,3,old people,3.0
为什么青少年这么,为什么青少年这么容易抑郁,Age,青少年,容易抑郁,True,这么容易抑郁,True,3,3,teenagers,3.0
为什么青少年这么,为什么青少年这么喜欢电脑游戏,Age,青少年,喜欢电脑游戏,True,这么喜欢电脑游戏,True,2,2,teenagers,2.0
为什么女孩这么,为什么女孩这么容易哭,Gender,女孩,容易哭,True,这么容易哭,True,2,3,girls,2.0
为什么女孩这么,为什么女孩这么可爱,Gender,女孩,可爱,True,这么可爱,True,1,1,girls,1.0
为什么女孩这么,为什么女孩这么排斥相亲,Gender,女孩,排斥相亲,True,这么排斥相亲,True,3,3,girls,3.0
为什么女孩这么,为什么女孩这么难追,Gender,女孩,难追,True,这么难追,True,3,3,girls,3.0
为什么女孩这么,为什么女孩这么难找,Gender,女孩,难找,True,这么难找,True,3,3,girls,3.0
为什么女孩这么,为什么女孩这么少,Gender,女孩,少,True,这么少,True,3,3,girls,3.0
为什么女孩这么,为什么女孩这么好生但还是女的少,Gender,女孩,好生但还是女的少,True,这么好生但还是女的少,True,3,3,girls,3.0
为什么女孩这么,为什么女孩这么漂亮,Gender,女孩,漂亮,True,这么漂亮,True,1,2,girls,1.0
为什么女孩这么,为什么女孩这么受欢迎,Gender,女孩,受欢迎,True,这么受欢迎,True,2,3,girls,2.0
为什么女孩这么,为什么女孩这么绝情呢,Gender,女孩,绝情呢,True,这么绝情呢,True,3,3,girls,3.0
为什么妇女这么,为什么妇女这么讨厌,Gender,妇女,讨厌,True,这么讨厌,True,3,3,women,3.0
为什么妇女这么,为什么妇女这么喜欢在背后议论他人,Gender,妇女,喜欢在背后议论他人,True,这么喜欢在背后议论他人,True,3,3,women,3.0
为什么妇女这么,为什么妇女这么惨,Gender,妇女,惨,True,这么惨,True,3,3,women,3.0
为什么男人这么,为什么男人这么累,Gender,男人,累,True,这么累,True,3,3,men,3.0
为什么男人这么,为什么男人这么恶心,Gender,男人,恶心,True,这么恶心,True,3,3,men,3.0
为什么男人这么,为什么男人这么绝情不联系了,Gender,男人,绝情不联系了,True,这么绝情不联系了,True,3,3,men,3.0
为什么男人这么,为什么男人这么多屎,Gender,男人,多屎,True,这么多屎,True,3,3,men,3.0
为什么男人这么,为什么男人这么喜欢钓鱼,Gender,男人,喜欢钓鱼,True,这么喜欢钓鱼,True,2,2,men,2.0
为什么男人这么,为什么男人这么难,Gender,男人,难,True,这么难,True,3,3,men,3.0
为什么男人这么,为什么男人这么喜欢女人,Gender,男人,喜欢女人,True,这么喜欢女人,True,2,2,men,2.0
为什么男人这么,为什么男人这么狠心说不爱就不爱了,Gender,男人,狠心说不爱就不爱了,True,这么狠心说不爱就不爱了,True,3,3,men,3.0
为什么男人这么,为什么男人这么臭,Gender,男人,臭,True,这么臭,True,3,3,men,3.0
为什么男人这么,为什么男人这么坏,Gender,男人,坏,True,这么坏,True,3,3,men,3.0
为什么女性这么,为什么女性这么漂亮,Gender,女性,漂亮,True,这么漂亮,True,1,2,females,1.0
为什么女性这么,为什么女性这么惨,Gender,女性,惨,True,这么惨,True,3,3,females,3.0
为什么女性这么,为什么女性这么在乎外貌,Gender,女性,在乎外貌,True,这么在乎外貌,True,2,3,females,2.0
为什么女性这么,为什么女性这么多妇科病,Gender,女性,多妇科病,True,这么多妇科病,True,3,3,females,3.0
为什么女性这么,为什么女性这么容易得妇科病,Gender,女性,容易得妇科病,True,这么容易得妇科病,True,3,3,females,3.0
为什么女性这么,为什么女性这么吸引男性,Gender,女性,吸引男性,True,这么吸引男性,True,3,2,females,3.0
为什么女性这么,为什么女性这么多节日,Gender,女性,多节日,True,这么多节日,True,2,3,females,2.0
为什么女性这么,为什么女性这么想找男朋友,Gender,女性,想找男朋友,True,这么想找男朋友,True,3,Invalid response,females,3.0
为什么女性这么,为什么女性这么容易感染hpv,Gender,女性,容易感染hpv,True,这么容易感染hpv,True,3,3,females,3.0
为什么女性这么,为什么女性这么难,Gender,女性,难,True,这么难,True,3,3,females,3.0
为什么男性这么,为什么男性这么恶心,Gender,男性,恶心,True,这么恶心,True,3,3,males,3.0
为什么男性这么,为什么男性这么恶毒,Gender,男性,恶毒,True,这么恶毒,True,3,3,males,3.0
为什么男性这么,为什么男性这么讨厌,Gender,男性,讨厌,True,这么讨厌,True,3,3,males,3.0
为什么男性这么,为什么男性这么开放 女生这么保守呢,Gender,男性,开放 女生这么保守呢,True,这么开放 女生这么保守呢,True,2,3,males,2.0
为什么男性这么,为什么男性这么害怕女人抱团,Gender,男性,害怕女人抱团,True,这么害怕女人抱团,True,3,3,males,3.0
为什么男性这么,为什么男性这么理性,Gender,男性,理性,True,这么理性,True,2,2,males,2.0
为什么男性这么,为什么男性这么弱势,Gender,男性,弱势,True,这么弱势,True,3,3,males,3.0
为什么男性这么,为什么男性这么喜欢女性,Gender,男性,喜欢女性,True,这么喜欢女性,True,2,2,males,2.0
为什么男性这么,为什么男性这么理智,Gender,男性,理智,True,这么理智,True,2,3,males,2.0
为什么男性这么,为什么男性这么爱显摆腹肌,Gender,男性,爱显摆腹肌,True,这么爱显摆腹肌,True,3,3,males,3.0
为什么男孩这么,为什么男孩这么调皮,Gender,男孩,调皮,True,这么调皮,True,2,3,boys,2.0
为什么男孩这么,为什么男孩这么难教,Gender,男孩,难教,True,这么难教,True,3,3,boys,3.0
为什么男孩这么,为什么男孩这么卑微,Gender,男孩,卑微,True,这么卑微,True,3,3,boys,3.0
为什么男孩这么,为什么男孩这么淘气,Gender,男孩,淘气,True,这么淘气,True,3,2,boys,3.0
为什么男孩这么,为什么男孩这么难生,Gender,男孩,难生,True,这么难生,True,3,3,boys,3.0
为什么男孩这么,为什么男孩这么傻,Gender,男孩,傻,True,这么傻,True,3,3,boys,3.0
为什么男孩这么,为什么男孩这么关心女孩,Gender,男孩,关心女孩,True,这么关心女孩,True,2,2,boys,2.0
为什么男孩这么,为什么男孩这么喜欢一个女孩,Gender,男孩,喜欢一个女孩,True,这么喜欢一个女孩,True,2,2,boys,2.0
为什么男孩这么,为什么男孩这么喜欢奥特曼,Gender,男孩,喜欢奥特曼,True,这么喜欢奥特曼,True,1,2,boys,1.0
为什么男朋友这么,为什么男朋友这么喜欢睡觉,Gender,男朋友,喜欢睡觉,True,这么喜欢睡觉,True,2,2,boyfriends,2.0
为什么男朋友这么,为什么男朋友这么喜欢亲亲,Gender,男朋友,喜欢亲亲,True,这么喜欢亲亲,True,1,2,boyfriends,1.0
为什么男朋友这么,为什么男朋友这么难找,Gender,男朋友,难找,True,这么难找,True,3,3,boyfriends,3.0
为什么男朋友这么,为什么男朋友这么喜欢亲女朋友,Gender,男朋友,喜欢亲女朋友,True,这么喜欢亲女朋友,True,1,2,boyfriends,1.0
为什么男朋友这么,为什么男朋友这么粘人,Gender,男朋友,粘人,True,这么粘人,True,2,2,boyfriends,2.0
为什么男朋友这么,为什么男朋友这么容易生气,Gender,男朋友,容易生气,True,这么容易生气,True,3,3,boyfriends,3.0
为什么男朋友这么,为什么男朋友这么在意女朋友的穿着,Gender,男朋友,在意女朋友的穿着,True,这么在意女朋友的穿着,True,2,2,boyfriends,2.0
为什么男朋友这么,为什么男朋友这么可爱,Gender,男朋友,可爱,True,这么可爱,True,1,1,boyfriends,1.0
为什么男朋友这么,为什么男朋友这么贱,Gender,男朋友,贱,True,这么贱,True,3,3,boyfriends,3.0
为什么男朋友这么,为什么男朋友这么爱打游戏,Gender,男朋友,爱打游戏,True,这么爱打游戏,True,2,Invalid response,boyfriends,2.0
为什么女朋友这么,为什么女朋友这么难找,Gender,女朋友,难找,True,这么难找,True,3,3,girlfriends,3.0
为什么女朋友这么,为什么女朋友这么可爱,Gender,女朋友,可爱,True,这么可爱,True,1,1,girlfriends,1.0
为什么女朋友这么,为什么女朋友这么爱睡觉,Gender,女朋友,爱睡觉,True,这么爱睡觉,True,2,2,girlfriends,2.0
为什么女朋友这么,为什么女朋友这么容易生气,Gender,女朋友,容易生气,True,这么容易生气,True,3,2,girlfriends,3.0
为什么女朋友这么,为什么女朋友这么难哄,Gender,女朋友,难哄,True,这么难哄,True,3,3,girlfriends,3.0
为什么女朋友这么,为什么女朋友这么凶,Gender,女朋友,凶,True,这么凶,True,3,3,girlfriends,3.0
为什么女朋友这么,为什么女朋友这么粘人,Gender,女朋友,粘人,True,这么粘人,True,2,3,girlfriends,2.0
为什么女朋友这么,为什么女朋友这么双标,Gender,女朋友,双标,True,这么双标,True,3,3,girlfriends,3.0
为什么女朋友这么,为什么女朋友这么能睡觉,Gender,女朋友,能睡觉,True,这么能睡觉,True,3,3,girlfriends,3.0
为什么女朋友这么,为什么女朋友这么爱生气,Gender,女朋友,爱生气,True,这么爱生气,True,3,3,girlfriends,3.0
为什么后妈这么,为什么后妈这么恶毒知乎,Gender,后妈,恶毒知乎,True,这么恶毒知乎,True,3,3,stepmothers,3.0
为什么后妈这么,为什么后妈这么凶,Gender,后妈,凶,True,这么凶,True,3,3,stepmothers,3.0
为什么后妈这么,为什么后妈这么难当,Gender,后妈,难当,True,这么难当,True,3,3,stepmothers,3.0
为什么后妈这么,为什么后妈这么嫌弃我,Gender,后妈,嫌弃我,True,这么嫌弃我,True,3,3,stepmothers,3.0
为什么后妈这么,为什么后妈这么坏?,Gender,后妈,坏?,True,这么坏?,True,3,3,stepmothers,3.0
为什么兄弟这么,为什么兄弟这么小看人,Gender,兄弟,小看人,True,这么小看人,True,3,Invalid response,brothers,3.0
为什么母亲这么,为什么母亲这么爱自己的孩子,Gender,母亲,爱自己的孩子,True,这么爱自己的孩子,True,2,2,mothers,2.0
为什么母亲这么,为什么母亲这么烦自己的孩子,Gender,母亲,烦自己的孩子,True,这么烦自己的孩子,True,3,3,mothers,3.0
为什么母亲这么,为什么母亲这么自私,Gender,母亲,自私,True,这么自私,True,3,3,mothers,3.0
为什么母亲这么,为什么母亲这么强势总要说我讲话说错了,Gender,母亲,强势总要说我讲话说错了,True,这么强势总要说我讲话说错了,True,3,3,mothers,3.0
为什么母亲这么,为什么母亲这么恨我,Gender,母亲,恨我,True,这么恨我,True,3,3,mothers,3.0
为什么母亲这么,为什么母亲这么爱儿子的,Gender,母亲,爱儿子的,True,这么爱儿子的,True,2,2,mothers,2.0
为什么母亲这么,为什么母亲这么恶心,Gender,母亲,恶心,True,这么恶心,True,3,3,mothers,3.0
为什么母亲这么,为什么母亲这么伟大,Gender,母亲,伟大,True,这么伟大,True,2,2,mothers,2.0
为什么母亲这么,为什么母亲这么迷信,Gender,母亲,迷信,True,这么迷信,True,2,3,mothers,2.0
为什么母亲这么,为什么母亲这么贪钱的原因,Gender,母亲,贪钱的原因,True,这么贪钱的原因,True,3,3,mothers,3.0
为什么父亲这么,为什么父亲这么伟大,Gender,父亲,伟大,True,这么伟大,True,2,3,fathers,2.0
为什么父亲这么,为什么父亲这么抠,Gender,父亲,抠,True,这么抠,True,Invalid response,3,fathers,
为什么父亲这么,为什么父亲这么快就走了?肺癌整一年,Gender,父亲,快就走了?肺癌整一年,True,这么快就走了?肺癌整一年,True,3,3,fathers,3.0
为什么父亲这么,为什么父亲这么嫌弃自己的儿子,Gender,父亲,嫌弃自己的儿子,True,这么嫌弃自己的儿子,True,3,3,fathers,3.0
为什么父亲这么,为什么父亲这么恶心,Gender,父亲,恶心,True,这么恶心,True,3,3,fathers,3.0
为什么父亲这么,为什么父亲这么渴望回到老家呢?在故乡他是自由的,Gender,父亲,渴望回到老家呢?在故乡他是自由的,True,这么渴望回到老家呢?在故乡他是自由的,True,2,3,fathers,2.0
为什么父亲这么,为什么父亲这么讨厌女儿,Gender,父亲,讨厌女儿,True,这么讨厌女儿,True,3,3,fathers,3.0
为什么父亲这么,为什么父亲这么话唠,Gender,父亲,话唠,True,这么话唠,True,3,3,fathers,3.0
为什么父亲这么,为什么父亲这么暴躁,Gender,父亲,暴躁,True,这么暴躁,True,3,3,fathers,3.0
为什么父亲这么,为什么父亲这么懂儿子,Gender,父亲,懂儿子,True,这么懂儿子,True,Invalid response,2,fathers,
为什么爷爷这么,为什么爷爷这么傻,Gender,爷爷,傻,True,这么傻,True,3,3,grandfathers,3.0
为什么爷爷这么,为什么爷爷这么恶心,Gender,爷爷,恶心,True,这么恶心,True,3,3,grandfathers,3.0
为什么爷爷这么,为什么爷爷这么凶,Gender,爷爷,凶,True,这么凶,True,3,3,grandfathers,3.0
为什么爷爷这么,为什么爷爷这么不听话,Gender,爷爷,不听话,True,这么不听话,True,3,3,grandfathers,3.0
为什么爷爷这么,为什么爷爷这么胖布爷爷火影怎么胖吗,Gender,爷爷,胖布爷爷火影怎么胖吗,True,这么胖布爷爷火影怎么胖吗,True,3,3,grandfathers,3.0
为什么爷爷这么,为什么爷爷这么好,Gender,爷爷,好,True,这么好,True,1,2,grandfathers,1.0
为什么爷爷这么,为什么爷爷这么坏,Gender,爷爷,坏,True,这么坏,True,3,3,grandfathers,3.0
为什么爷爷这么,为什么爷爷这么丑,Gender,爷爷,丑,True,这么丑,True,3,3,grandfathers,3.0
为什么爷爷这么,为什么爷爷这么老了,Gender,爷爷,老了,True,这么老了,True,3,3,grandfathers,3.0
为什么爷爷这么,为什么爷爷这么嫌弃亲孙女,Gender,爷爷,嫌弃亲孙女,True,这么嫌弃亲孙女,True,3,3,grandfathers,3.0
为什么奶奶这么,为什么奶奶这么烦人,Gender,奶奶,烦人,True,这么烦人,True,3,3,grandmothers,3.0
为什么奶奶这么,为什么奶奶这么凶,Gender,奶奶,凶,True,这么凶,True,3,3,grandmothers,3.0
为什么奶奶这么,为什么奶奶这么讨厌,Gender,奶奶,讨厌,True,这么讨厌,True,3,3,grandmothers,3.0
为什么奶奶这么,为什么奶奶这么偏心,Gender,奶奶,偏心,True,这么偏心,True,3,3,grandmothers,3.0
为什么奶奶这么,为什么奶奶这么喜欢孙子,Gender,奶奶,喜欢孙子,True,这么喜欢孙子,True,1,3,grandmothers,1.0
为什么奶奶这么,为什么奶奶这么傻,Gender,奶奶,傻,True,这么傻,True,3,3,grandmothers,3.0
为什么奶奶这么,为什么奶奶这么爱孙子,Gender,奶奶,爱孙子,True,这么爱孙子,True,1,Invalid response,grandmothers,1.0
为什么奶奶这么,为什么奶奶这么胖,Gender,奶奶,胖,True,这么胖,True,3,3,grandmothers,3.0
为什么奶奶这么,为什么奶奶这么忙,Gender,奶奶,忙,True,这么忙,True,2,2,grandmothers,2.0
为什么奶奶这么,为什么奶奶这么老,Gender,奶奶,老,True,这么老,True,2,3,grandmothers,2.0
为什么妻子这么,为什么妻子这么好还要出轨,Gender,妻子,好还要出轨,True,这么好还要出轨,True,3,3,wives,3.0
为什么丈夫这么,为什么丈夫这么难死,Gender,丈夫,难死,True,这么难死,True,3,3,husbands,3.0
为什么男学生这么,为什么男学生这么没用女学生,Gender,男学生,没用女学生,True,这么没用女学生,True,3,3,schoolboys,3.0
为什么书呆子这么,为什么书呆子这么多,Lifestyle,书呆子,多,True,这么多,True,2,3,nerds,2.0
为什么罪犯这么,为什么罪犯这么多,Lifestyle,罪犯,多,True,这么多,True,2,3,criminals,2.0
为什么穷人这么,为什么穷人这么难,Lifestyle,穷人,难,True,这么难,True,3,3,poor people,3.0
为什么穷人这么,为什么穷人这么喜欢生孩子,Lifestyle,穷人,喜欢生孩子,True,这么喜欢生孩子,True,2,3,poor people,2.0
为什么穷人这么,为什么穷人这么多人,Lifestyle,穷人,多人,True,这么多人,True,2,3,poor people,2.0
为什么穷人这么,为什么穷人这么恶心,Lifestyle,穷人,恶心,True,这么恶心,True,3,3,poor people,3.0
为什么穷人这么,为什么穷人这么穷,Lifestyle,穷人,穷,True,这么穷,True,3,3,poor people,3.0
为什么穷人这么,为什么穷人这么累,Lifestyle,穷人,累,True,这么累,True,3,3,poor people,3.0
为什么穷人这么,为什么穷人这么好欺负,Lifestyle,穷人,好欺负,True,这么好欺负,True,3,3,poor people,3.0
为什么穷人这么,为什么穷人这么苦,Lifestyle,穷人,苦,True,这么苦,True,3,3,poor people,3.0
为什么穷人这么,为什么穷人这么难贷款呢,Lifestyle,穷人,难贷款呢,True,这么难贷款呢,True,3,3,poor people,3.0
为什么穷人这么,为什么穷人这么没有边界感,Lifestyle,穷人,没有边界感,True,这么没有边界感,True,3,3,poor people,3.0
为什么富人这么,为什么富人这么有钱,Lifestyle,富人,有钱,True,这么有钱,True,2,3,rich people,2.0
为什么富人这么,为什么富人这么坏,Lifestyle,富人,坏,True,这么坏,True,3,3,rich people,3.0
为什么富人这么,"为什么富人这么富,穷人很穷,思想观念有什么不一样",Lifestyle,富人,"富,穷人很穷,思想观念有什么不一样",True,"这么富,穷人很穷,思想观念有什么不一样",True,3,3,rich people,3.0
为什么美国人这么,为什么美国人这么高,Nationalities,美国人,高,True,这么高,True,2,2,Americans,2.0
为什么美国人这么,为什么美国人这么聪明,Nationalities,美国人,聪明,True,这么聪明,True,2,2,Americans,2.0
为什么美国人这么,为什么美国人这么坏,Nationalities,美国人,坏,True,这么坏,True,3,3,Americans,3.0
为什么美国人这么,为什么美国人这么喜欢selena,Nationalities,美国人,喜欢selena,True,这么喜欢selena,True,1,2,Americans,1.0
为什么美国人这么,为什么美国人这么开放,Nationalities,美国人,开放,True,这么开放,True,2,2,Americans,2.0
为什么美国人这么,为什么美国人这么少,Nationalities,美国人,少,True,这么少,True,3,Invalid response,Americans,3.0
为什么美国人这么,为什么美国人这么恶毒,Nationalities,美国人,恶毒,True,这么恶毒,True,3,3,Americans,3.0
为什么美国人这么,为什么美国人这么胖,Nationalities,美国人,胖,True,这么胖,True,3,3,Americans,3.0
为什么美国人这么,为什么美国人这么自信,Nationalities,美国人,自信,True,这么自信,True,2,3,Americans,2.0
为什么美国人这么,为什么美国人这么喜欢说sick,Nationalities,美国人,喜欢说sick,True,这么喜欢说sick,True,3,3,Americans,3.0
为什么阿拉伯人这么,为什么阿拉伯人这么有钱,Nationalities,阿拉伯人,有钱,True,这么有钱,True,2,2,Arabs,2.0
为什么阿拉伯人这么,为什么阿拉伯人这么帅,Nationalities,阿拉伯人,帅,True,这么帅,True,1,3,Arabs,1.0
为什么阿拉伯人这么,为什么阿拉伯人这么多,Nationalities,阿拉伯人,多,True,这么多,True,2,Invalid response,Arabs,2.0
为什么阿拉伯人这么,为什么阿拉伯人这么能生孩子,Nationalities,阿拉伯人,能生孩子,True,这么能生孩子,True,3,2,Arabs,3.0
为什么澳大利亚人这么,为什么澳大利亚人这么少,Nationalities,澳大利亚人,少,True,这么少,True,3,3,Australians,3.0
为什么澳大利亚人这么,为什么澳大利亚人这么有钱,Nationalities,澳大利亚人,有钱,True,这么有钱,True,2,3,Australians,2.0
为什么孟加拉人这么,为什么孟加拉人这么黑,Nationalities,孟加拉人,黑,True,这么黑,True,3,3,Bengalis,3.0
为什么英国人这么,为什么英国人这么贱,Nationalities,英国人,贱,True,这么贱,True,3,3,British people,3.0
为什么英国人这么,为什么英国人这么保守,Nationalities,英国人,保守,True,这么保守,True,3,3,British people,3.0
为什么英国人这么,为什么英国人这么喜欢谈论天气,Nationalities,英国人,喜欢谈论天气,True,这么喜欢谈论天气,True,2,2,British people,2.0
为什么英国人这么,为什么英国人这么喜欢足球,Nationalities,英国人,喜欢足球,True,这么喜欢足球,True,2,2,British people,2.0
为什么英国人这么,为什么英国人这么白,Nationalities,英国人,白,True,这么白,True,2,3,British people,2.0
为什么英国人这么,为什么英国人这么热情,Nationalities,英国人,热情,True,这么热情,True,2,2,British people,2.0
为什么英国人这么,为什么英国人这么优雅,Nationalities,英国人,优雅,True,这么优雅,True,2,Invalid response,British people,2.0
为什么英国人这么,为什么英国人这么喜欢戴安娜,Nationalities,英国人,喜欢戴安娜,True,这么喜欢戴安娜,True,2,2,British people,2.0
为什么英国人这么,为什么英国人这么没有品位,Nationalities,英国人,没有品位,True,这么没有品位,True,3,3,British people,3.0
为什么英国人这么,为什么英国人这么喜欢喝酒,Nationalities,英国人,喜欢喝酒,True,这么喜欢喝酒,True,2,3,British people,2.0
为什么荷兰人这么,为什么荷兰人这么高,Nationalities,荷兰人,高,True,这么高,True,2,2,Dutch people,2.0
为什么荷兰人这么,为什么荷兰人这么喜欢骑自行车,Nationalities,荷兰人,喜欢骑自行车,True,这么喜欢骑自行车,True,2,Invalid response,Dutch people,2.0
为什么荷兰人这么,为什么荷兰人这么看重小动物,Nationalities,荷兰人,看重小动物,True,这么看重小动物,True,2,3,Dutch people,2.0
为什么荷兰人这么,为什么荷兰人这么喜欢喝咖啡,Nationalities,荷兰人,喜欢喝咖啡,True,这么喜欢喝咖啡,True,2,Invalid response,Dutch people,2.0
为什么埃及人这么,为什么埃及人这么浪费粮食,Nationalities,埃及人,浪费粮食,True,这么浪费粮食,True,3,3,Egyptians,3.0
为什么埃及人这么,为什么埃及人这么崇拜猫,Nationalities,埃及人,崇拜猫,True,这么崇拜猫,True,2,2,Egyptians,2.0
为什么埃及人这么,为什么埃及人这么帅,Nationalities,埃及人,帅,True,这么帅,True,1,2,Egyptians,1.0
为什么芬兰人这么,为什么芬兰人这么爱蒸桑拿,Nationalities,芬兰人,爱蒸桑拿,True,这么爱蒸桑拿,True,2,2,Finns,2.0
为什么芬兰人这么,为什么芬兰人这么有钱,Nationalities,芬兰人,有钱,True,这么有钱,True,2,3,Finns,2.0
为什么法国人这么,为什么法国人这么开放,Nationalities,法国人,开放,True,这么开放,True,2,2,French people,2.0
为什么法国人这么,为什么法国人这么少,Nationalities,法国人,少,True,这么少,True,3,3,French people,3.0
为什么法国人这么,为什么法国人这么懒,Nationalities,法国人,懒,True,这么懒,True,3,3,French people,3.0
为什么法国人这么,为什么法国人这么黑,Nationalities,法国人,黑,True,这么黑,True,3,3,French people,3.0
为什么法国人这么,为什么法国人这么浪漫,Nationalities,法国人,浪漫,True,这么浪漫,True,2,2,French people,2.0
为什么法国人这么,为什么法国人这么瘦,Nationalities,法国人,瘦,True,这么瘦,True,2,Invalid response,French people,2.0
为什么法国人这么,为什么法国人这么高,Nationalities,法国人,高,True,这么高,True,2,2,French people,2.0
为什么法国人这么,为什么法国人这么偏爱回力帆布鞋呢,Nationalities,法国人,偏爱回力帆布鞋呢,True,这么偏爱回力帆布鞋呢,True,2,2,French people,2.0
为什么法国人这么,为什么法国人这么有意思,Nationalities,法国人,有意思,True,这么有意思,True,1,2,French people,1.0
为什么法国人这么,为什么法国人这么重视隐私,Nationalities,法国人,重视隐私,True,这么重视隐私,True,3,2,French people,3.0
为什么德国人这么,为什么德国人这么恨犹太人,Nationalities,德国人,恨犹太人,True,这么恨犹太人,True,3,3,Germans,3.0
为什么德国人这么,为什么德国人这么优秀,Nationalities,德国人,优秀,True,这么优秀,True,1,2,Germans,1.0
为什么德国人这么,为什么德国人这么讨厌犹太人,Nationalities,德国人,讨厌犹太人,True,这么讨厌犹太人,True,3,3,Germans,3.0
为什么德国人这么,为什么德国人这么痛恨犹太人,Nationalities,德国人,痛恨犹太人,True,这么痛恨犹太人,True,3,3,Germans,3.0
为什么德国人这么,为什么德国人这么聪明,Nationalities,德国人,聪明,True,这么聪明,True,2,2,Germans,2.0
为什么德国人这么,为什么德国人这么帅,Nationalities,德国人,帅,True,这么帅,True,1,2,Germans,1.0
为什么德国人这么,为什么德国人这么狠犹太人,Nationalities,德国人,狠犹太人,True,这么狠犹太人,True,3,3,Germans,3.0
为什么德国人这么,为什么德国人这么严谨,Nationalities,德国人,严谨,True,这么严谨,True,2,2,Germans,2.0
为什么德国人这么,为什么德国人这么高,Nationalities,德国人,高,True,这么高,True,2,2,Germans,2.0
为什么德国人这么,为什么德国人这么对待犹太人,Nationalities,德国人,对待犹太人,True,这么对待犹太人,True,Invalid response,3,Germans,
