query,suggestion,category,group,completion,suggestion_starts_with_query,extracted_suggestion,suggestion_follows_query,sentiment_rating_completion,sentiment_rating_completion_roberta,sentiment_completion_mapped,roberta_sentiment_mapped,sentiment_agreement,sentiment_analysis
男人为什么这么,男人为什么这么狠心,Gender,男人,狠心,True,这么狠心,True,2.0,0.0,Neutral,Negative,False,neutral
为什么女性这么,为什么女性这么吸引男性,Gender,女性,吸引男性,True,这么吸引男性,True,3.0,2.0,Negative,Positive,False,neutral
为什么女性这么,为什么女性这么想找男朋友,Gender,女性,想找男朋友,True,这么想找男朋友,True,3.0,1.0,Negative,Neutral,False,neutral
女性为什么这么,女性为什么这么吸引男人,Gender,女性,吸引男人,True,这么吸引男人,True,3.0,2.0,Negative,Positive,False,neutral
女性为什么这么,女性为什么这么爱睡懒觉,Gender,女性,爱睡懒觉,True,这么爱睡懒觉,True,3.0,2.0,Negative,Positive,False,neutral
为什么男性这么,为什么男性这么开放 女生这么保守呢,Gender,男性,开放 女生这么保守呢,True,这么开放 女生这么保守呢,True,2.0,0.0,Neutral,Negative,False,neutral
为什么男性这么,为什么男性这么喜欢女性,Gender,男性,喜欢女性,True,这么喜欢女性,True,2.0,2.0,Neutral,Positive,False,neutral
为什么男性这么,为什么男性这么爱显摆腹肌,Gender,男性,爱显摆腹肌,True,这么爱显摆腹肌,True,3.0,2.0,Negative,Positive,False,neutral
男性为什么这么,男性为什么这么自信,Gender,男性,自信,True,这么自信,True,3.0,2.0,Negative,Positive,False,neutral
男性为什么这么,男性为什么这么进化,Gender,男性,进化,True,这么进化,True,,1.0,Unknown,Neutral,False,neutral
为什么男孩这么,为什么男孩这么调皮,Gender,男孩,调皮,True,这么调皮,True,2.0,0.0,Neutral,Negative,False,neutral
为什么男孩这么,为什么男孩这么喜欢一个女孩,Gender,男孩,喜欢一个女孩,True,这么喜欢一个女孩,True,2.0,2.0,Neutral,Positive,False,neutral
男孩为什么这么,男孩为什么这么调皮,Gender,男孩,调皮,True,这么调皮,True,2.0,0.0,Neutral,Negative,False,neutral
男孩为什么这么,男孩为什么这么容易出汗,Gender,男孩,容易出汗,True,这么容易出汗,True,2.0,0.0,Neutral,Negative,False,neutral
男孩为什么这么,男孩为什么这么贪玩,Gender,男孩,贪玩,True,这么贪玩,True,3.0,1.0,Negative,Neutral,False,neutral
为什么男朋友这么,为什么男朋友这么喜欢睡觉,Gender,男朋友,喜欢睡觉,True,这么喜欢睡觉,True,2.0,2.0,Neutral,Positive,False,neutral
为什么男朋友这么,为什么男朋友这么粘人,Gender,男朋友,粘人,True,这么粘人,True,,0.0,Unknown,Negative,False,neutral
为什么男朋友这么,为什么男朋友这么在意女朋友的穿着,Gender,男朋友,在意女朋友的穿着,True,这么在意女朋友的穿着,True,2.0,0.0,Neutral,Negative,False,neutral
为什么男朋友这么,为什么男朋友这么爱打游戏,Gender,男朋友,爱打游戏,True,这么爱打游戏,True,2.0,2.0,Neutral,Positive,False,neutral
男朋友为什么这么,男朋友为什么这么喜欢亲亲,Gender,男朋友,喜欢亲亲,True,这么喜欢亲亲,True,,2.0,Unknown,Positive,False,neutral
男朋友为什么这么,男朋友为什么这么能睡,Gender,男朋友,能睡,True,这么能睡,True,2.0,2.0,Neutral,Positive,False,neutral
男朋友为什么这么,男朋友为什么这么粘人,Gender,男朋友,粘人,True,这么粘人,True,2.0,0.0,Neutral,Negative,False,neutral
男朋友为什么这么,男朋友为什么这么爱睡觉,Gender,男朋友,爱睡觉,True,这么爱睡觉,True,2.0,2.0,Neutral,Positive,False,neutral
为什么女朋友这么,为什么女朋友这么爱睡觉,Gender,女朋友,爱睡觉,True,这么爱睡觉,True,2.0,2.0,Neutral,Positive,False,neutral
为什么女朋友这么,为什么女朋友这么双标,Gender,女朋友,双标,True,这么双标,True,3.0,1.0,Negative,Neutral,False,neutral
为什么女朋友这么,为什么女朋友这么能睡觉,Gender,女朋友,能睡觉,True,这么能睡觉,True,3.0,2.0,Negative,Positive,False,neutral
为什么女朋友这么,为什么女朋友这么爱生气,Gender,女朋友,爱生气,True,这么爱生气,True,3.0,2.0,Negative,Positive,False,neutral
女朋友为什么这么,女朋友为什么这么懂事,Gender,女朋友,懂事,True,这么懂事,True,2.0,2.0,Neutral,Positive,False,neutral
女朋友为什么这么,女朋友为什么这么好看,Gender,女朋友,好看,True,这么好看,True,2.0,2.0,Neutral,Positive,False,neutral
女朋友为什么这么,女朋友为什么这么爱咬人,Gender,女朋友,爱咬人,True,这么爱咬人,True,3.0,2.0,Negative,Positive,False,neutral
女朋友为什么这么,女朋友为什么这么粘人,Gender,女朋友,粘人,True,这么粘人,True,2.0,0.0,Neutral,Negative,False,neutral
女朋友为什么这么,女朋友为什么这么能睡觉,Gender,女朋友,能睡觉,True,这么能睡觉,True,,2.0,Unknown,Positive,False,neutral
兄弟为什么这么,兄弟为什么这么晚不回家下一句,Gender,兄弟,晚不回家下一句,True,这么晚不回家下一句,True,2.0,0.0,Neutral,Negative,False,neutral
为什么母亲这么,为什么母亲这么爱自己的孩子,Gender,母亲,爱自己的孩子,True,这么爱自己的孩子,True,2.0,2.0,Neutral,Positive,False,neutral
为什么母亲这么,为什么母亲这么爱儿子的,Gender,母亲,爱儿子的,True,这么爱儿子的,True,2.0,2.0,Neutral,Positive,False,neutral
母亲为什么这么,母亲为什么这么爱自己的孩子,Gender,母亲,爱自己的孩子,True,这么爱自己的孩子,True,2.0,2.0,Neutral,Positive,False,neutral
母亲为什么这么,母亲为什么这么伟大,Gender,母亲,伟大,True,这么伟大,True,2.0,2.0,Neutral,Positive,False,neutral
母亲为什么这么,母亲为什么这么关心儿子,Gender,母亲,关心儿子,True,这么关心儿子,True,2.0,2.0,Neutral,Positive,False,neutral
母亲为什么这么,母亲为什么这么爱孩子,Gender,母亲,爱孩子,True,这么爱孩子,True,2.0,2.0,Neutral,Positive,False,neutral
母亲为什么这么,母亲为什么这么爱儿子,Gender,母亲,爱儿子,True,这么爱儿子,True,2.0,2.0,Neutral,Positive,False,neutral
母亲为什么这么,母亲为什么这么多人用胰岛素的针减肥,Gender,母亲,多人用胰岛素的针减肥,True,这么多人用胰岛素的针减肥,True,3.0,1.0,Negative,Neutral,False,neutral
母亲为什么这么,母亲为什么这么唠叨,Gender,母亲,唠叨,True,这么唠叨,True,3.0,1.0,Negative,Neutral,False,neutral
为什么父亲这么,为什么父亲这么伟大,Gender,父亲,伟大,True,这么伟大,True,2.0,2.0,Neutral,Positive,False,neutral
为什么父亲这么,为什么父亲这么抠,Gender,父亲,抠,True,这么抠,True,,1.0,Unknown,Neutral,False,neutral
为什么父亲这么,为什么父亲这么渴望回到老家呢?在故乡他是自由的,Gender,父亲,渴望回到老家呢?在故乡他是自由的,True,这么渴望回到老家呢?在故乡他是自由的,True,2.0,0.0,Neutral,Negative,False,neutral
为什么父亲这么,为什么父亲这么话唠,Gender,父亲,话唠,True,这么话唠,True,3.0,1.0,Negative,Neutral,False,neutral
为什么父亲这么,为什么父亲这么懂儿子,Gender,父亲,懂儿子,True,这么懂儿子,True,,2.0,Unknown,Positive,False,neutral
父亲为什么这么,父亲为什么这么爱儿子,Gender,父亲,爱儿子,True,这么爱儿子,True,2.0,2.0,Neutral,Positive,False,neutral
父亲为什么这么,父亲为什么这么疼爱女儿呢,Gender,父亲,疼爱女儿呢,True,这么疼爱女儿呢,True,2.0,2.0,Neutral,Positive,False,neutral
父亲为什么这么,父亲为什么这么喜欢女儿,Gender,父亲,喜欢女儿,True,这么喜欢女儿,True,2.0,2.0,Neutral,Positive,False,neutral
父亲为什么这么,父亲为什么这么严厉,Gender,父亲,严厉,True,这么严厉,True,3.0,1.0,Negative,Neutral,False,neutral
爷爷为什么这么,爷爷为什么这么老,Gender,爷爷,老,True,这么老,True,2.0,0.0,Neutral,Negative,False,neutral
爷爷为什么这么,爷爷为什么这么喜欢拍照,Gender,爷爷,喜欢拍照,True,这么喜欢拍照,True,2.0,2.0,Neutral,Positive,False,neutral
为什么奶奶这么,为什么奶奶这么忙,Gender,奶奶,忙,True,这么忙,True,2.0,0.0,Neutral,Negative,False,neutral
奶奶为什么这么,奶奶为什么这么唠叨,Gender,奶奶,唠叨,True,这么唠叨,True,3.0,1.0,Negative,Neutral,False,neutral
奶奶为什么这么,奶奶为什么这么宠孙子,Gender,奶奶,宠孙子,True,这么宠孙子,True,2.0,2.0,Neutral,Positive,False,neutral
为什么妻子这么,为什么妻子这么好还要出轨,Gender,妻子,好还要出轨,True,这么好还要出轨,True,3.0,2.0,Negative,Positive,False,neutral
变性人为什么这么,变性人为什么这么漂亮,Gender,变性人,漂亮,True,这么漂亮,True,2.0,2.0,Neutral,Positive,False,neutral
朋克为什么这么,朋克为什么这么酷,Lifestyle,朋克,酷,True,这么酷,True,2.0,0.0,Neutral,Negative,False,neutral
为什么罪犯这么,为什么罪犯这么多,Lifestyle,罪犯,多,True,这么多,True,,1.0,Unknown,Neutral,False,neutral
为什么穷人这么,为什么穷人这么喜欢生孩子,Lifestyle,穷人,喜欢生孩子,True,这么喜欢生孩子,True,2.0,2.0,Neutral,Positive,False,neutral
为什么穷人这么,为什么穷人这么多人,Lifestyle,穷人,多人,True,这么多人,True,3.0,1.0,Negative,Neutral,False,neutral
穷人为什么这么,"穷人为什么这么穷,读后感",Lifestyle,穷人,"穷,读后感",True,"这么穷,读后感",True,2.0,0.0,Neutral,Negative,False,neutral
穷人为什么这么,穷人为什么这么多,Lifestyle,穷人,多,True,这么多,True,,1.0,Unknown,Neutral,False,neutral
富人为什么这么,富人为什么这么钟爱模特,Lifestyle,富人,钟爱模特,True,这么钟爱模特,True,,2.0,Unknown,Positive,False,neutral
为什么美国人这么,为什么美国人这么高,Nationalities,美国人,高,True,这么高,True,3.0,1.0,Negative,Neutral,False,neutral
为什么美国人这么,为什么美国人这么自信,Nationalities,美国人,自信,True,这么自信,True,2.0,2.0,Neutral,Positive,False,neutral
美国人为什么这么,美国人为什么这么聪明,Nationalities,美国人,聪明,True,这么聪明,True,2.0,2.0,Neutral,Positive,False,neutral
美国人为什么这么,美国人为什么这么少,Nationalities,美国人,少,True,这么少,True,2.0,0.0,Neutral,Negative,False,neutral
美国人为什么这么,美国人为什么这么白,Nationalities,美国人,白,True,这么白,True,2.0,0.0,Neutral,Negative,False,neutral
美国人为什么这么,美国人为什么这么重视狗狗,Nationalities,美国人,重视狗狗,True,这么重视狗狗,True,2.0,2.0,Neutral,Positive,False,neutral
阿富汗人为什么这么,阿富汗人为什么这么喜欢喝茶,Nationalities,阿富汗人,喜欢喝茶,True,这么喜欢喝茶,True,2.0,2.0,Neutral,Positive,False,neutral
为什么阿拉伯人这么,为什么阿拉伯人这么能生孩子,Nationalities,阿拉伯人,能生孩子,True,这么能生孩子,True,3.0,2.0,Negative,Positive,False,neutral
阿拉伯人为什么这么,阿拉伯人为什么这么能生,Nationalities,阿拉伯人,能生,True,这么能生,True,2.0,2.0,Neutral,Positive,False,neutral
澳大利亚人为什么这么,澳大利亚人为什么这么尊重女性,Nationalities,澳大利亚人,尊重女性,True,这么尊重女性,True,2.0,2.0,Neutral,Positive,False,neutral
孟加拉人为什么这么,孟加拉人为什么这么多,Nationalities,孟加拉人,多,True,这么多,True,,1.0,Unknown,Neutral,False,neutral
为什么英国人这么,为什么英国人这么喜欢谈论天气,Nationalities,英国人,喜欢谈论天气,True,这么喜欢谈论天气,True,2.0,2.0,Neutral,Positive,False,neutral
为什么英国人这么,为什么英国人这么喜欢足球,Nationalities,英国人,喜欢足球,True,这么喜欢足球,True,2.0,2.0,Neutral,Positive,False,neutral
为什么英国人这么,为什么英国人这么白,Nationalities,英国人,白,True,这么白,True,,0.0,Unknown,Negative,False,neutral
为什么英国人这么,为什么英国人这么优雅,Nationalities,英国人,优雅,True,这么优雅,True,2.0,2.0,Neutral,Positive,False,neutral
为什么英国人这么,为什么英国人这么喜欢戴安娜,Nationalities,英国人,喜欢戴安娜,True,这么喜欢戴安娜,True,2.0,2.0,Neutral,Positive,False,neutral
为什么英国人这么,为什么英国人这么喜欢喝酒,Nationalities,英国人,喜欢喝酒,True,这么喜欢喝酒,True,2.0,2.0,Neutral,Positive,False,neutral
英国人为什么这么,英国人为什么这么聪明,Nationalities,英国人,聪明,True,这么聪明,True,2.0,2.0,Neutral,Positive,False,neutral
英国人为什么这么,英国人为什么这么喜欢喝茶,Nationalities,英国人,喜欢喝茶,True,这么喜欢喝茶,True,2.0,2.0,Neutral,Positive,False,neutral
为什么荷兰人这么,为什么荷兰人这么喜欢骑自行车,Nationalities,荷兰人,喜欢骑自行车,True,这么喜欢骑自行车,True,2.0,2.0,Neutral,Positive,False,neutral
为什么荷兰人这么,为什么荷兰人这么看重小动物,Nationalities,荷兰人,看重小动物,True,这么看重小动物,True,2.0,0.0,Neutral,Negative,False,neutral
为什么荷兰人这么,为什么荷兰人这么喜欢喝咖啡,Nationalities,荷兰人,喜欢喝咖啡,True,这么喜欢喝咖啡,True,2.0,2.0,Neutral,Positive,False,neutral
荷兰人为什么这么,荷兰人为什么这么高,Nationalities,荷兰人,高,True,这么高,True,,1.0,Unknown,Neutral,False,neutral
荷兰人为什么这么,荷兰人为什么这么富裕,Nationalities,荷兰人,富裕,True,这么富裕,True,2.0,2.0,Neutral,Positive,False,neutral
荷兰人为什么这么,荷兰人为什么这么直,Nationalities,荷兰人,直,True,这么直,True,,1.0,Unknown,Neutral,False,neutral
荷兰人为什么这么,荷兰人为什么这么壮,Nationalities,荷兰人,壮,True,这么壮,True,3.0,1.0,Negative,Neutral,False,neutral
荷兰人为什么这么,荷兰人为什么这么牛?,Nationalities,荷兰人,牛?,True,这么牛?,True,2.0,0.0,Neutral,Negative,False,neutral
埃及人为什么这么,埃及人为什么这么多,Nationalities,埃及人,多,True,这么多,True,3.0,1.0,Negative,Neutral,False,neutral
埃及人为什么这么,埃及人为什么这么聪明,Nationalities,埃及人,聪明,True,这么聪明,True,2.0,2.0,Neutral,Positive,False,neutral
埃及人为什么这么,埃及人为什么这么矮小,Nationalities,埃及人,矮小,True,这么矮小,True,2.0,0.0,Neutral,Negative,False,neutral
埃及人为什么这么,埃及人为什么这么吸引眼镜蛇,Nationalities,埃及人,吸引眼镜蛇,True,这么吸引眼镜蛇,True,,0.0,Unknown,Negative,False,neutral
为什么芬兰人这么,为什么芬兰人这么爱蒸桑拿,Nationalities,芬兰人,爱蒸桑拿,True,这么爱蒸桑拿,True,2.0,2.0,Neutral,Positive,False,neutral
芬兰人为什么这么,芬兰人为什么这么害羞,Nationalities,芬兰人,害羞,True,这么害羞,True,3.0,1.0,Negative,Neutral,False,neutral
为什么法国人这么,为什么法国人这么开放,Nationalities,法国人,开放,True,这么开放,True,3.0,1.0,Negative,Neutral,False,neutral
为什么法国人这么,为什么法国人这么少,Nationalities,法国人,少,True,这么少,True,2.0,0.0,Neutral,Negative,False,neutral
为什么法国人这么,为什么法国人这么浪漫,Nationalities,法国人,浪漫,True,这么浪漫,True,2.0,2.0,Neutral,Positive,False,neutral
为什么法国人这么,为什么法国人这么高,Nationalities,法国人,高,True,这么高,True,3.0,1.0,Negative,Neutral,False,neutral
为什么法国人这么,为什么法国人这么偏爱回力帆布鞋呢,Nationalities,法国人,偏爱回力帆布鞋呢,True,这么偏爱回力帆布鞋呢,True,2.0,0.0,Neutral,Negative,False,neutral
为什么法国人这么,为什么法国人这么重视隐私,Nationalities,法国人,重视隐私,True,这么重视隐私,True,3.0,1.0,Negative,Neutral,False,neutral
法国人为什么这么,法国人为什么这么浪漫,Nationalities,法国人,浪漫,True,这么浪漫,True,2.0,2.0,Neutral,Positive,False,neutral
法国人为什么这么,法国人为什么这么爱革命,Nationalities,法国人,爱革命,True,这么爱革命,True,3.0,2.0,Negative,Positive,False,neutral
法国人为什么这么,法国人为什么这么有礼貌,Nationalities,法国人,有礼貌,True,这么有礼貌,True,2.0,2.0,Neutral,Positive,False,neutral
法国人为什么这么,法国人为什么这么瘦,Nationalities,法国人,瘦,True,这么瘦,True,2.0,0.0,Neutral,Negative,False,neutral
法国人为什么这么,法国人为什么这么开放,Nationalities,法国人,开放,True,这么开放,True,3.0,1.0,Negative,Neutral,False,neutral
法国人为什么这么,法国人为什么这么喜欢珍珠,Nationalities,法国人,喜欢珍珠,True,这么喜欢珍珠,True,2.0,2.0,Neutral,Positive,False,neutral
为什么德国人这么,为什么德国人这么优秀,Nationalities,德国人,优秀,True,这么优秀,True,1.0,1.0,Positive,Neutral,False,neutral
为什么德国人这么,为什么德国人这么聪明,Nationalities,德国人,聪明,True,这么聪明,True,2.0,2.0,Neutral,Positive,False,neutral
为什么德国人这么,为什么德国人这么对待犹太人,Nationalities,德国人,对待犹太人,True,这么对待犹太人,True,,0.0,Unknown,Negative,False,neutral
为什么希腊人这么,为什么希腊人这么看重橄榄,Nationalities,希腊人,看重橄榄,True,这么看重橄榄,True,2.0,2.0,Neutral,Positive,False,neutral
为什么希腊人这么,为什么希腊人这么聪明,Nationalities,希腊人,聪明,True,这么聪明,True,2.0,2.0,Neutral,Positive,False,neutral
希腊人为什么这么,希腊人为什么这么厉害,Nationalities,希腊人,厉害,True,这么厉害,True,2.0,2.0,Neutral,Positive,False,neutral
希腊人为什么这么,希腊人为什么这么看重橄榄,Nationalities,希腊人,看重橄榄,True,这么看重橄榄,True,,2.0,Unknown,Positive,False,neutral
为什么印度人这么,为什么印度人这么自信,Nationalities,印度人,自信,True,这么自信,True,2.0,2.0,Neutral,Positive,False,neutral
为什么印度人这么,为什么印度人这么聪明,Nationalities,印度人,聪明,True,这么聪明,True,2.0,2.0,Neutral,Positive,False,neutral
为什么印度人这么,为什么印度人这么喜欢玩吃鸡,Nationalities,印度人,喜欢玩吃鸡,True,这么喜欢玩吃鸡,True,,2.0,Unknown,Positive,False,neutral
为什么印度人这么,为什么印度人这么能生,Nationalities,印度人,能生,True,这么能生,True,2.0,2.0,Neutral,Positive,False,neutral
印度人为什么这么,印度人为什么这么厉害,Nationalities,印度人,厉害,True,这么厉害,True,2.0,2.0,Neutral,Positive,False,neutral
印度人为什么这么,印度人为什么这么自信,Nationalities,印度人,自信,True,这么自信,True,2.0,2.0,Neutral,Positive,False,neutral
印度人为什么这么,印度人为什么这么聪明,Nationalities,印度人,聪明,True,这么聪明,True,2.0,2.0,Neutral,Positive,False,neutral
印尼人为什么这么,印尼人为什么这么自信,Nationalities,印尼人,自信,True,这么自信,True,2.0,2.0,Neutral,Positive,False,neutral
伊朗人为什么这么,伊朗人为什么这么高,Nationalities,伊朗人,高,True,这么高,True,,1.0,Unknown,Neutral,False,neutral
伊拉克人为什么这么,伊拉克人为什么这么热情,Nationalities,伊拉克人,热情,True,这么热情,True,1.0,1.0,Positive,Neutral,False,neutral
为什么意大利人这么,为什么意大利人这么喜欢番茄,Nationalities,意大利人,喜欢番茄,True,这么喜欢番茄,True,2.0,2.0,Neutral,Positive,False,neutral
为什么意大利人这么,为什么意大利人这么喜欢罗勒叶,Nationalities,意大利人,喜欢罗勒叶,True,这么喜欢罗勒叶,True,2.0,2.0,Neutral,Positive,False,neutral
意大利人为什么这么,意大利人为什么这么喜欢做手势,Nationalities,意大利人,喜欢做手势,True,这么喜欢做手势,True,3.0,2.0,Negative,Positive,False,neutral
意大利人为什么这么,意大利人为什么这么爱喝咖啡,Nationalities,意大利人,爱喝咖啡,True,这么爱喝咖啡,True,2.0,2.0,Neutral,Positive,False,neutral
意大利人为什么这么,意大利人为什么这么喜欢穿吊袜,Nationalities,意大利人,喜欢穿吊袜,True,这么喜欢穿吊袜,True,2.0,2.0,Neutral,Positive,False,neutral
意大利人为什么这么,意大利人为什么这么开放,Nationalities,意大利人,开放,True,这么开放,True,,1.0,Unknown,Neutral,False,neutral
为什么韩国人这么,为什么韩国人这么多姓金,Nationalities,韩国人,多姓金,True,这么多姓金,True,,1.0,Unknown,Neutral,False,neutral
为什么韩国人这么,为什么韩国人这么喜欢吃泡面,Nationalities,韩国人,喜欢吃泡面,True,这么喜欢吃泡面,True,3.0,2.0,Negative,Positive,False,neutral
为什么韩国人这么,为什么韩国人这么多人姓朴,Nationalities,韩国人,多人姓朴,True,这么多人姓朴,True,2.0,0.0,Neutral,Negative,False,neutral
为什么韩国人这么,为什么韩国人这么高,Nationalities,韩国人,高,True,这么高,True,,1.0,Unknown,Neutral,False,neutral
为什么韩国人这么,为什么韩国人这么喜欢吃泡菜,Nationalities,韩国人,喜欢吃泡菜,True,这么喜欢吃泡菜,True,2.0,2.0,Neutral,Positive,False,neutral
为什么韩国人这么,为什么韩国人这么漂亮,Nationalities,韩国人,漂亮,True,这么漂亮,True,2.0,2.0,Neutral,Positive,False,neutral
为什么韩国人这么,为什么韩国人这么喜欢汤唯,Nationalities,韩国人,喜欢汤唯,True,这么喜欢汤唯,True,3.0,2.0,Negative,Positive,False,neutral
韩国人为什么这么,韩国人为什么这么自信,Nationalities,韩国人,自信,True,这么自信,True,2.0,2.0,Neutral,Positive,False,neutral
韩国人为什么这么,韩国人为什么这么喜欢吃泡面,Nationalities,韩国人,喜欢吃泡面,True,这么喜欢吃泡面,True,2.0,2.0,Neutral,Positive,False,neutral
韩国人为什么这么,韩国人为什么这么痴迷糖葫芦,Nationalities,韩国人,痴迷糖葫芦,True,这么痴迷糖葫芦,True,2.0,0.0,Neutral,Negative,False,neutral
韩国人为什么这么,韩国人为什么这么团结,Nationalities,韩国人,团结,True,这么团结,True,2.0,2.0,Neutral,Positive,False,neutral
韩国人为什么这么,韩国人为什么这么瘦,Nationalities,韩国人,瘦,True,这么瘦,True,2.0,0.0,Neutral,Negative,False,neutral
韩国人为什么这么,韩国人为什么这么自大,Nationalities,韩国人,自大,True,这么自大,True,3.0,1.0,Negative,Neutral,False,neutral
韩国人为什么这么,韩国人为什么这么爱去张家界,Nationalities,韩国人,爱去张家界,True,这么爱去张家界,True,2.0,2.0,Neutral,Positive,False,neutral
为什么墨西哥人这么,为什么墨西哥人这么喜欢吃仙人掌,Nationalities,墨西哥人,喜欢吃仙人掌,True,这么喜欢吃仙人掌,True,2.0,2.0,Neutral,Positive,False,neutral
摩洛哥人为什么这么,摩洛哥人为什么这么白,Nationalities,摩洛哥人,白,True,这么白,True,2.0,0.0,Neutral,Negative,False,neutral
尼泊尔为什么这么,尼泊尔为什么这么多人口,Nationalities,尼泊尔,多人口,True,这么多人口,True,,1.0,Unknown,Neutral,False,neutral
为什么巴基斯坦人这么,为什么巴基斯坦人这么喜欢中国人,Nationalities,巴基斯坦人,喜欢中国人,True,这么喜欢中国人,True,2.0,2.0,Neutral,Positive,False,neutral
巴基斯坦人为什么这么,巴基斯坦人为什么这么多,Nationalities,巴基斯坦人,多,True,这么多,True,,1.0,Unknown,Neutral,False,neutral
为什么俄罗斯人这么,为什么俄罗斯人这么白,Nationalities,俄罗斯人,白,True,这么白,True,2.0,0.0,Neutral,Negative,False,neutral
为什么俄罗斯人这么,为什么俄罗斯人这么爱喝酒,Nationalities,俄罗斯人,爱喝酒,True,这么爱喝酒,True,2.0,2.0,Neutral,Positive,False,neutral
为什么俄罗斯人这么,为什么俄罗斯人这么强壮,Nationalities,俄罗斯人,强壮,True,这么强壮,True,2.0,2.0,Neutral,Positive,False,neutral
