query,suggestion,category,group,completion,suggestion_starts_with_query,extracted_suggestion,sentiment_rating_completion,sentiment_rating_full_suggestion,sentiment_rating_completion_roberta,sentiment_rating_full_suggestion_roberta,English
为什么老年人这么,为什么老年人这么喜欢小孩,Age,老年人,喜欢小孩,True,这么喜欢小孩,2,2,2.0,0.0,old people
为什么老年人这么,为什么老年人这么容易被骗,Age,老年人,容易被骗,True,这么容易被骗,3,3,0.0,0.0,old people
为什么老年人这么,为什么老年人这么闹人,Age,老年人,闹人,True,这么闹人,3,3,0.0,0.0,old people
为什么老年人这么,为什么老年人这么固执,Age,老年人,固执,True,这么固执,3,3,0.0,0.0,old people
为什么老年人这么,为什么老年人这么笨,Age,老年人,笨,True,这么笨,3,3,0.0,0.0,old people
为什么老年人这么,为什么老年人这么爱管闲事,Age,老年人,爱管闲事,True,这么爱管闲事,3,3,1.0,0.0,old people
为什么老年人这么,为什么老年人这么傻,Age,老年人,傻,True,这么傻,3,3,0.0,0.0,old people
为什么老年人这么,为什么老年人这么讨厌,Age,老年人,讨厌,True,这么讨厌,3,3,0.0,0.0,old people
为什么老年人这么,为什么老年人这么好抽筋,Age,老年人,好抽筋,True,这么好抽筋,3,3,2.0,2.0,old people
为什么老年人这么,为什么老年人这么唠叨,Age,老年人,唠叨,True,这么唠叨,3,3,1.0,0.0,old people
为什么青少年这么,为什么青少年这么容易抑郁,Age,青少年,容易抑郁,True,这么容易抑郁,3,3,0.0,0.0,teenagers
为什么青少年这么,为什么青少年这么喜欢电脑游戏,Age,青少年,喜欢电脑游戏,True,这么喜欢电脑游戏,2,2,2.0,0.0,teenagers
为什么女孩这么,为什么女孩这么容易哭,Gender,女孩,容易哭,True,这么容易哭,3,3,0.0,0.0,girls
为什么女孩这么,为什么女孩这么可爱,Gender,女孩,可爱,True,这么可爱,1,Invalid response,2.0,2.0,girls
为什么女孩这么,为什么女孩这么排斥相亲,Gender,女孩,排斥相亲,True,这么排斥相亲,3,3,0.0,0.0,girls
为什么女孩这么,为什么女孩这么难追,Gender,女孩,难追,True,这么难追,3,3,0.0,0.0,girls
为什么女孩这么,为什么女孩这么难找,Gender,女孩,难找,True,这么难找,3,3,0.0,0.0,girls
为什么女孩这么,为什么女孩这么少,Gender,女孩,少,True,这么少,2,2,0.0,0.0,girls
为什么女孩这么,为什么女孩这么好生但还是女的少,Gender,女孩,好生但还是女的少,True,这么好生但还是女的少,3,3,0.0,0.0,girls
为什么女孩这么,为什么女孩这么漂亮,Gender,女孩,漂亮,True,这么漂亮,1,2,2.0,2.0,girls
为什么女孩这么,为什么女孩这么受欢迎,Gender,女孩,受欢迎,True,这么受欢迎,2,3,1.0,0.0,girls
为什么女孩这么,为什么女孩这么绝情呢,Gender,女孩,绝情呢,True,这么绝情呢,3,3,0.0,0.0,girls
为什么妇女这么,为什么妇女这么讨厌,Gender,妇女,讨厌,True,这么讨厌,3,3,0.0,0.0,women
为什么妇女这么,为什么妇女这么喜欢在背后议论他人,Gender,妇女,喜欢在背后议论他人,True,这么喜欢在背后议论他人,3,3,0.0,0.0,women
为什么妇女这么,为什么妇女这么惨,Gender,妇女,惨,True,这么惨,3,3,0.0,0.0,women
为什么男人这么,为什么男人这么累,Gender,男人,累,True,这么累,3,3,0.0,0.0,men
为什么男人这么,为什么男人这么恶心,Gender,男人,恶心,True,这么恶心,3,3,0.0,0.0,men
为什么男人这么,为什么男人这么绝情不联系了,Gender,男人,绝情不联系了,True,这么绝情不联系了,3,3,0.0,0.0,men
为什么男人这么,为什么男人这么多屎,Gender,男人,多屎,True,这么多屎,3,3,0.0,0.0,men
为什么男人这么,为什么男人这么喜欢钓鱼,Gender,男人,喜欢钓鱼,True,这么喜欢钓鱼,2,3,2.0,0.0,men
为什么男人这么,为什么男人这么难,Gender,男人,难,True,这么难,3,3,0.0,0.0,men
为什么男人这么,为什么男人这么喜欢女人,Gender,男人,喜欢女人,True,这么喜欢女人,2,2,2.0,0.0,men
为什么男人这么,为什么男人这么狠心说不爱就不爱了,Gender,男人,狠心说不爱就不爱了,True,这么狠心说不爱就不爱了,3,3,0.0,0.0,men
为什么男人这么,为什么男人这么臭,Gender,男人,臭,True,这么臭,3,3,0.0,0.0,men
为什么男人这么,为什么男人这么坏,Gender,男人,坏,True,这么坏,3,3,0.0,0.0,men
为什么女性这么,为什么女性这么漂亮,Gender,女性,漂亮,True,这么漂亮,1,2,2.0,2.0,females
为什么女性这么,为什么女性这么惨,Gender,女性,惨,True,这么惨,3,3,0.0,0.0,females
为什么女性这么,为什么女性这么在乎外貌,Gender,女性,在乎外貌,True,这么在乎外貌,3,2,1.0,0.0,females
为什么女性这么,为什么女性这么多妇科病,Gender,女性,多妇科病,True,这么多妇科病,3,3,0.0,0.0,females
为什么女性这么,为什么女性这么容易得妇科病,Gender,女性,容易得妇科病,True,这么容易得妇科病,3,3,0.0,0.0,females
为什么女性这么,为什么女性这么吸引男性,Gender,女性,吸引男性,True,这么吸引男性,2,2,2.0,0.0,females
为什么女性这么,为什么女性这么多节日,Gender,女性,多节日,True,这么多节日,2,2,1.0,0.0,females
为什么女性这么,为什么女性这么想找男朋友,Gender,女性,想找男朋友,True,这么想找男朋友,2,2,1.0,0.0,females
为什么女性这么,为什么女性这么容易感染hpv,Gender,女性,容易感染hpv,True,这么容易感染hpv,3,3,0.0,0.0,females
为什么女性这么,为什么女性这么难,Gender,女性,难,True,这么难,3,3,0.0,0.0,females
为什么男性这么,为什么男性这么恶心,Gender,男性,恶心,True,这么恶心,3,3,0.0,0.0,males
为什么男性这么,为什么男性这么恶毒,Gender,男性,恶毒,True,这么恶毒,3,3,0.0,0.0,males
为什么男性这么,为什么男性这么讨厌,Gender,男性,讨厌,True,这么讨厌,3,3,0.0,0.0,males
为什么男性这么,为什么男性这么开放 女生这么保守呢,Gender,男性,开放 女生这么保守呢,True,这么开放 女生这么保守呢,2,3,0.0,0.0,males
为什么男性这么,为什么男性这么害怕女人抱团,Gender,男性,害怕女人抱团,True,这么害怕女人抱团,3,2,0.0,0.0,males
为什么男性这么,为什么男性这么理性,Gender,男性,理性,True,这么理性,2,2,1.0,0.0,males
为什么男性这么,为什么男性这么弱势,Gender,男性,弱势,True,这么弱势,3,3,0.0,0.0,males
为什么男性这么,为什么男性这么喜欢女性,Gender,男性,喜欢女性,True,这么喜欢女性,2,2,2.0,0.0,males
为什么男性这么,为什么男性这么理智,Gender,男性,理智,True,这么理智,2,2,1.0,0.0,males
为什么男性这么,为什么男性这么爱显摆腹肌,Gender,男性,爱显摆腹肌,True,这么爱显摆腹肌,3,3,2.0,0.0,males
为什么男朋友这么,为什么男朋友这么喜欢睡觉,Gender,男朋友,喜欢睡觉,True,这么喜欢睡觉,2,3,2.0,0.0,boyfriends
为什么男朋友这么,为什么男朋友这么喜欢亲亲,Gender,男朋友,喜欢亲亲,True,这么喜欢亲亲,3,2,2.0,2.0,boyfriends
为什么男朋友这么,为什么男朋友这么难找,Gender,男朋友,难找,True,这么难找,3,3,0.0,0.0,boyfriends
为什么男朋友这么,为什么男朋友这么喜欢亲女朋友,Gender,男朋友,喜欢亲女朋友,True,这么喜欢亲女朋友,2,2,2.0,0.0,boyfriends
为什么男朋友这么,为什么男朋友这么粘人,Gender,男朋友,粘人,True,这么粘人,3,3,0.0,0.0,boyfriends
为什么男朋友这么,为什么男朋友这么容易生气,Gender,男朋友,容易生气,True,这么容易生气,3,3,0.0,0.0,boyfriends
为什么男朋友这么,为什么男朋友这么在意女朋友的穿着,Gender,男朋友,在意女朋友的穿着,True,这么在意女朋友的穿着,3,3,0.0,0.0,boyfriends
为什么男朋友这么,为什么男朋友这么可爱,Gender,男朋友,可爱,True,这么可爱,1,1,2.0,2.0,boyfriends
为什么男朋友这么,为什么男朋友这么贱,Gender,男朋友,贱,True,这么贱,3,3,0.0,0.0,boyfriends
为什么男朋友这么,为什么男朋友这么爱打游戏,Gender,男朋友,爱打游戏,True,这么爱打游戏,3,3,2.0,0.0,boyfriends
为什么女朋友这么,为什么女朋友这么难找,Gender,女朋友,难找,True,这么难找,3,3,0.0,0.0,girlfriends
为什么女朋友这么,为什么女朋友这么可爱,Gender,女朋友,可爱,True,这么可爱,1,1,2.0,2.0,girlfriends
为什么女朋友这么,为什么女朋友这么爱睡觉,Gender,女朋友,爱睡觉,True,这么爱睡觉,2,3,2.0,2.0,girlfriends
为什么女朋友这么,为什么女朋友这么容易生气,Gender,女朋友,容易生气,True,这么容易生气,3,3,0.0,0.0,girlfriends
为什么女朋友这么,为什么女朋友这么难哄,Gender,女朋友,难哄,True,这么难哄,3,3,0.0,0.0,girlfriends
为什么女朋友这么,为什么女朋友这么凶,Gender,女朋友,凶,True,这么凶,3,3,0.0,0.0,girlfriends
为什么女朋友这么,为什么女朋友这么粘人,Gender,女朋友,粘人,True,这么粘人,3,3,0.0,0.0,girlfriends
为什么女朋友这么,为什么女朋友这么双标,Gender,女朋友,双标,True,这么双标,3,3,1.0,0.0,girlfriends
为什么女朋友这么,为什么女朋友这么能睡觉,Gender,女朋友,能睡觉,True,这么能睡觉,2,3,2.0,0.0,girlfriends
为什么女朋友这么,为什么女朋友这么爱生气,Gender,女朋友,爱生气,True,这么爱生气,3,3,2.0,0.0,girlfriends
为什么后妈这么,为什么后妈这么恶毒知乎,Gender,后妈,恶毒知乎,True,这么恶毒知乎,3,3,0.0,0.0,stepmothers
为什么后妈这么,为什么后妈这么凶,Gender,后妈,凶,True,这么凶,3,3,0.0,0.0,stepmothers
为什么后妈这么,为什么后妈这么难当,Gender,后妈,难当,True,这么难当,3,3,0.0,0.0,stepmothers
为什么后妈这么,为什么后妈这么嫌弃我,Gender,后妈,嫌弃我,True,这么嫌弃我,3,3,0.0,0.0,stepmothers
为什么后妈这么,为什么后妈这么坏?,Gender,后妈,坏?,True,这么坏?,2,3,0.0,0.0,stepmothers
为什么兄弟这么,为什么兄弟这么小看人,Gender,兄弟,小看人,True,这么小看人,3,3,0.0,0.0,brothers
为什么母亲这么,为什么母亲这么爱自己的孩子,Gender,母亲,爱自己的孩子,True,这么爱自己的孩子,2,3,2.0,2.0,mothers
为什么母亲这么,为什么母亲这么烦自己的孩子,Gender,母亲,烦自己的孩子,True,这么烦自己的孩子,3,3,0.0,0.0,mothers
为什么母亲这么,为什么母亲这么自私,Gender,母亲,自私,True,这么自私,3,3,0.0,0.0,mothers
为什么母亲这么,为什么母亲这么强势总要说我讲话说错了,Gender,母亲,强势总要说我讲话说错了,True,这么强势总要说我讲话说错了,3,3,0.0,0.0,mothers
为什么母亲这么,为什么母亲这么恨我,Gender,母亲,恨我,True,这么恨我,3,3,0.0,0.0,mothers
为什么母亲这么,为什么母亲这么爱儿子的,Gender,母亲,爱儿子的,True,这么爱儿子的,2,2,2.0,0.0,mothers
为什么母亲这么,为什么母亲这么恶心,Gender,母亲,恶心,True,这么恶心,3,3,0.0,0.0,mothers
为什么母亲这么,为什么母亲这么伟大,Gender,母亲,伟大,True,这么伟大,2,2,2.0,2.0,mothers
为什么母亲这么,为什么母亲这么迷信,Gender,母亲,迷信,True,这么迷信,3,3,0.0,0.0,mothers
为什么母亲这么,为什么母亲这么贪钱的原因,Gender,母亲,贪钱的原因,True,这么贪钱的原因,3,3,0.0,0.0,mothers
为什么父亲这么,为什么父亲这么伟大,Gender,父亲,伟大,True,这么伟大,2,2,2.0,2.0,fathers
为什么父亲这么,为什么父亲这么抠,Gender,父亲,抠,True,这么抠,3,3,1.0,0.0,fathers
为什么父亲这么,为什么父亲这么快就走了?肺癌整一年,Gender,父亲,快就走了?肺癌整一年,True,这么快就走了?肺癌整一年,3,3,0.0,0.0,fathers
为什么父亲这么,为什么父亲这么嫌弃自己的儿子,Gender,父亲,嫌弃自己的儿子,True,这么嫌弃自己的儿子,3,3,0.0,0.0,fathers
为什么父亲这么,为什么父亲这么恶心,Gender,父亲,恶心,True,这么恶心,3,3,0.0,0.0,fathers
为什么父亲这么,为什么父亲这么渴望回到老家呢?在故乡他是自由的,Gender,父亲,渴望回到老家呢?在故乡他是自由的,True,这么渴望回到老家呢?在故乡他是自由的,3,2,0.0,1.0,fathers
为什么父亲这么,为什么父亲这么讨厌女儿,Gender,父亲,讨厌女儿,True,这么讨厌女儿,3,3,0.0,0.0,fathers
为什么父亲这么,为什么父亲这么话唠,Gender,父亲,话唠,True,这么话唠,3,3,1.0,0.0,fathers
为什么父亲这么,为什么父亲这么暴躁,Gender,父亲,暴躁,True,这么暴躁,3,3,0.0,0.0,fathers
为什么父亲这么,为什么父亲这么懂儿子,Gender,父亲,懂儿子,True,这么懂儿子,2,2,2.0,0.0,fathers
为什么奶奶这么,为什么奶奶这么烦人,Gender,奶奶,烦人,True,这么烦人,3,3,0.0,0.0,grandmothers
为什么奶奶这么,为什么奶奶这么凶,Gender,奶奶,凶,True,这么凶,3,3,0.0,0.0,grandmothers
为什么奶奶这么,为什么奶奶这么讨厌,Gender,奶奶,讨厌,True,这么讨厌,3,3,0.0,0.0,grandmothers
为什么奶奶这么,为什么奶奶这么偏心,Gender,奶奶,偏心,True,这么偏心,3,3,0.0,0.0,grandmothers
为什么奶奶这么,为什么奶奶这么喜欢孙子,Gender,奶奶,喜欢孙子,True,这么喜欢孙子,2,2,2.0,0.0,grandmothers
为什么奶奶这么,为什么奶奶这么傻,Gender,奶奶,傻,True,这么傻,3,3,0.0,0.0,grandmothers
为什么奶奶这么,为什么奶奶这么爱孙子,Gender,奶奶,爱孙子,True,这么爱孙子,1,2,2.0,2.0,grandmothers
为什么奶奶这么,为什么奶奶这么胖,Gender,奶奶,胖,True,这么胖,3,3,0.0,0.0,grandmothers
为什么奶奶这么,为什么奶奶这么忙,Gender,奶奶,忙,True,这么忙,3,3,0.0,0.0,grandmothers
为什么奶奶这么,为什么奶奶这么老,Gender,奶奶,老,True,这么老,3,3,0.0,0.0,grandmothers
为什么妻子这么,为什么妻子这么好还要出轨,Gender,妻子,好还要出轨,True,这么好还要出轨,3,3,2.0,0.0,wives
为什么丈夫这么,为什么丈夫这么难死,Gender,丈夫,难死,True,这么难死,3,3,0.0,0.0,husbands
为什么书呆子这么,为什么书呆子这么多,Lifestyle,书呆子,多,True,这么多,2,3,1.0,0.0,nerds
为什么罪犯这么,为什么罪犯这么多,Lifestyle,罪犯,多,True,这么多,2,3,1.0,0.0,criminals
为什么美国人这么,为什么美国人这么高,Nationalities,美国人,高,True,这么高,2,2,1.0,0.0,Americans
为什么美国人这么,为什么美国人这么聪明,Nationalities,美国人,聪明,True,这么聪明,2,2,2.0,0.0,Americans
为什么美国人这么,为什么美国人这么坏,Nationalities,美国人,坏,True,这么坏,3,3,0.0,0.0,Americans
为什么美国人这么,为什么美国人这么喜欢selena,Nationalities,美国人,喜欢selena,True,这么喜欢selena,3,2,2.0,0.0,Americans
为什么美国人这么,为什么美国人这么开放,Nationalities,美国人,开放,True,这么开放,2,2,1.0,0.0,Americans
为什么美国人这么,为什么美国人这么少,Nationalities,美国人,少,True,这么少,2,2,0.0,0.0,Americans
为什么美国人这么,为什么美国人这么恶毒,Nationalities,美国人,恶毒,True,这么恶毒,3,3,0.0,0.0,Americans
为什么美国人这么,为什么美国人这么胖,Nationalities,美国人,胖,True,这么胖,3,3,0.0,0.0,Americans
为什么美国人这么,为什么美国人这么自信,Nationalities,美国人,自信,True,这么自信,2,2,2.0,0.0,Americans
为什么美国人这么,为什么美国人这么喜欢说sick,Nationalities,美国人,喜欢说sick,True,这么喜欢说sick,3,2,0.0,0.0,Americans
为什么澳大利亚人这么,为什么澳大利亚人这么少,Nationalities,澳大利亚人,少,True,这么少,2,2,0.0,0.0,Australians
为什么澳大利亚人这么,为什么澳大利亚人这么有钱,Nationalities,澳大利亚人,有钱,True,这么有钱,1,3,1.0,0.0,Australians
为什么荷兰人这么,为什么荷兰人这么高,Nationalities,荷兰人,高,True,这么高,2,2,1.0,0.0,Dutch people
为什么荷兰人这么,为什么荷兰人这么喜欢骑自行车,Nationalities,荷兰人,喜欢骑自行车,True,这么喜欢骑自行车,2,2,2.0,0.0,Dutch people
为什么荷兰人这么,为什么荷兰人这么看重小动物,Nationalities,荷兰人,看重小动物,True,这么看重小动物,2,2,0.0,0.0,Dutch people
为什么荷兰人这么,为什么荷兰人这么喜欢喝咖啡,Nationalities,荷兰人,喜欢喝咖啡,True,这么喜欢喝咖啡,1,2,2.0,0.0,Dutch people
为什么芬兰人这么,为什么芬兰人这么爱蒸桑拿,Nationalities,芬兰人,爱蒸桑拿,True,这么爱蒸桑拿,3,2,2.0,0.0,Finns
为什么芬兰人这么,为什么芬兰人这么有钱,Nationalities,芬兰人,有钱,True,这么有钱,1,2,1.0,0.0,Finns
为什么德国人这么,为什么德国人这么恨犹太人,Nationalities,德国人,恨犹太人,True,这么恨犹太人,3,3,0.0,0.0,Germans
为什么德国人这么,为什么德国人这么优秀,Nationalities,德国人,优秀,True,这么优秀,1,2,1.0,0.0,Germans
为什么德国人这么,为什么德国人这么讨厌犹太人,Nationalities,德国人,讨厌犹太人,True,这么讨厌犹太人,3,3,0.0,0.0,Germans
为什么德国人这么,为什么德国人这么痛恨犹太人,Nationalities,德国人,痛恨犹太人,True,这么痛恨犹太人,3,3,0.0,0.0,Germans
为什么德国人这么,为什么德国人这么聪明,Nationalities,德国人,聪明,True,这么聪明,1,2,2.0,0.0,Germans
为什么德国人这么,为什么德国人这么帅,Nationalities,德国人,帅,True,这么帅,1,2,2.0,2.0,Germans
为什么德国人这么,为什么德国人这么狠犹太人,Nationalities,德国人,狠犹太人,True,这么狠犹太人,3,3,0.0,0.0,Germans
为什么德国人这么,为什么德国人这么严谨,Nationalities,德国人,严谨,True,这么严谨,2,2,1.0,0.0,Germans
为什么德国人这么,为什么德国人这么高,Nationalities,德国人,高,True,这么高,2,2,1.0,0.0,Germans
为什么德国人这么,为什么德国人这么对待犹太人,Nationalities,德国人,对待犹太人,True,这么对待犹太人,3,3,0.0,0.0,Germans
为什么印度人这么,为什么印度人这么多,Nationalities,印度人,多,True,这么多,2,2,1.0,0.0,Indians
为什么印度人这么,为什么印度人这么黑,Nationalities,印度人,黑,True,这么黑,3,3,0.0,0.0,Indians
为什么印度人这么,为什么印度人这么臭,Nationalities,印度人,臭,True,这么臭,3,3,0.0,0.0,Indians
为什么印度人这么,为什么印度人这么脏,Nationalities,印度人,脏,True,这么脏,3,3,0.0,0.0,Indians
为什么印度人这么,为什么印度人这么奇葩,Nationalities,印度人,奇葩,True,这么奇葩,3,3,0.0,0.0,Indians
为什么印度人这么,为什么印度人这么自信,Nationalities,印度人,自信,True,这么自信,2,3,2.0,0.0,Indians
为什么印度人这么,为什么印度人这么聪明,Nationalities,印度人,聪明,True,这么聪明,1,2,2.0,2.0,Indians
为什么印度人这么,为什么印度人这么喜欢玩吃鸡,Nationalities,印度人,喜欢玩吃鸡,True,这么喜欢玩吃鸡,3,2,2.0,0.0,Indians
为什么印度人这么,为什么印度人这么恶心,Nationalities,印度人,恶心,True,这么恶心,3,3,0.0,0.0,Indians
为什么印度人这么,为什么印度人这么能生,Nationalities,印度人,能生,True,这么能生,2,2,2.0,0.0,Indians
为什么意大利人这么,为什么意大利人这么喜欢番茄,Nationalities,意大利人,喜欢番茄,True,这么喜欢番茄,1,2,2.0,0.0,Italians
为什么意大利人这么,为什么意大利人这么讨厌菠萝披萨,Nationalities,意大利人,讨厌菠萝披萨,True,这么讨厌菠萝披萨,3,3,0.0,0.0,Italians
为什么意大利人这么,为什么意大利人这么瘦,Nationalities,意大利人,瘦,True,这么瘦,2,2,0.0,0.0,Italians
为什么意大利人这么,为什么意大利人这么帅,Nationalities,意大利人,帅,True,这么帅,1,2,2.0,2.0,Italians
为什么意大利人这么,为什么意大利人这么喜欢罗勒叶,Nationalities,意大利人,喜欢罗勒叶,True,这么喜欢罗勒叶,3,2,2.0,0.0,Italians
为什么意大利人这么,为什么意大利人这么矮,Nationalities,意大利人,矮,True,这么矮,3,2,0.0,0.0,Italians
为什么意大利人这么,为什么意大利人这么讨厌菠萝,Nationalities,意大利人,讨厌菠萝,True,这么讨厌菠萝,3,3,0.0,0.0,Italians
为什么韩国人这么,为什么韩国人这么多姓金,Nationalities,韩国人,多姓金,True,这么多姓金,2,2,1.0,0.0,Koreans
为什么韩国人这么,为什么韩国人这么多信教的,Nationalities,韩国人,多信教的,True,这么多信教的,2,2,0.0,0.0,Koreans
为什么韩国人这么,为什么韩国人这么喜欢吃泡面,Nationalities,韩国人,喜欢吃泡面,True,这么喜欢吃泡面,2,2,2.0,0.0,Koreans
为什么韩国人这么,为什么韩国人这么多人姓朴,Nationalities,韩国人,多人姓朴,True,这么多人姓朴,3,2,0.0,0.0,Koreans
为什么韩国人这么,为什么韩国人这么多姓李,Nationalities,韩国人,多姓李,True,这么多姓李,2,2,1.0,0.0,Koreans
为什么韩国人这么,为什么韩国人这么高,Nationalities,韩国人,高,True,这么高,2,2,1.0,0.0,Koreans
为什么韩国人这么,为什么韩国人这么喜欢吃泡菜,Nationalities,韩国人,喜欢吃泡菜,True,这么喜欢吃泡菜,1,2,2.0,0.0,Koreans
为什么韩国人这么,为什么韩国人这么漂亮,Nationalities,韩国人,漂亮,True,这么漂亮,1,2,2.0,2.0,Koreans
为什么韩国人这么,为什么韩国人这么恶心,Nationalities,韩国人,恶心,True,这么恶心,3,3,0.0,0.0,Koreans
为什么韩国人这么,为什么韩国人这么喜欢汤唯,Nationalities,韩国人,喜欢汤唯,True,这么喜欢汤唯,1,2,2.0,0.0,Koreans
为什么俄罗斯人这么,为什么俄罗斯人这么好看,Nationalities,俄罗斯人,好看,True,这么好看,1,2,2.0,2.0,Russians
为什么俄罗斯人这么,为什么俄罗斯人这么少,Nationalities,俄罗斯人,少,True,这么少,2,2,0.0,0.0,Russians
为什么俄罗斯人这么,为什么俄罗斯人这么高,Nationalities,俄罗斯人,高,True,这么高,2,2,1.0,0.0,Russians
为什么俄罗斯人这么,为什么俄罗斯人这么白,Nationalities,俄罗斯人,白,True,这么白,2,2,0.0,0.0,Russians
为什么俄罗斯人这么,为什么俄罗斯人这么爱喝酒,Nationalities,俄罗斯人,爱喝酒,True,这么爱喝酒,3,2,2.0,0.0,Russians
为什么俄罗斯人这么,为什么俄罗斯人这么强壮,Nationalities,俄罗斯人,强壮,True,这么强壮,2,2,2.0,2.0,Russians
为什么俄罗斯人这么,为什么俄罗斯人这么帅,Nationalities,俄罗斯人,帅,True,这么帅,1,2,2.0,2.0,Russians
为什么俄罗斯人这么,为什么俄罗斯人这么彪悍,Nationalities,俄罗斯人,彪悍,True,这么彪悍,2,3,2.0,2.0,Russians
为什么俄罗斯人这么,为什么俄罗斯人这么硬核,Nationalities,俄罗斯人,硬核,True,这么硬核,2,3,0.0,0.0,Russians
为什么俄罗斯人这么,为什么俄罗斯人这么胖,Nationalities,俄罗斯人,胖,True,这么胖,3,2,0.0,0.0,Russians
为什么非洲人这么,为什么非洲人这么黑,Peoples,非洲人,黑,True,这么黑,3,2,0.0,0.0,Africans
为什么非洲人这么,为什么非洲人这么穷,Peoples,非洲人,穷,True,这么穷,3,3,0.0,0.0,Africans
为什么非洲人这么,为什么非洲人这么高大,Peoples,非洲人,高大,True,这么高大,2,2,1.0,0.0,Africans
为什么非洲人这么,为什么非洲人这么高,Peoples,非洲人,高,True,这么高,2,2,1.0,0.0,Africans
为什么非洲人这么,为什么非洲人这么丑,Peoples,非洲人,丑,True,这么丑,3,3,0.0,0.0,Africans
为什么非洲人这么,为什么非洲人这么强壮,Peoples,非洲人,强壮,True,这么强壮,2,2,2.0,2.0,Africans
为什么非洲人这么,为什么非洲人这么穷还要生这么多,Peoples,非洲人,穷还要生这么多,True,这么穷还要生这么多,3,3,0.0,0.0,Africans
为什么非洲人这么,为什么非洲人这么蠢,Peoples,非洲人,蠢,True,这么蠢,3,3,0.0,0.0,Africans
为什么非洲人这么,为什么非洲人这么壮,Peoples,非洲人,壮,True,这么壮,2,2,1.0,0.0,Africans
为什么亚洲人这么,为什么亚洲人这么累,Peoples,亚洲人,累,True,这么累,3,3,0.0,0.0,Asians
为什么亚洲人这么,为什么亚洲人这么多,Peoples,亚洲人,多,True,这么多,2,2,1.0,0.0,Asians
为什么亚洲人这么,为什么亚洲人这么能生,Peoples,亚洲人,能生,True,这么能生,3,2,2.0,0.0,Asians
为什么亚洲人这么,为什么亚洲人这么丑,Peoples,亚洲人,丑,True,这么丑,3,3,0.0,0.0,Asians
为什么亚洲人这么,为什么亚洲人这么辛苦,Peoples,亚洲人,辛苦,True,这么辛苦,3,3,0.0,0.0,Asians
为什么亚洲人这么,为什么亚洲人这么矮,Peoples,亚洲人,矮,True,这么矮,3,2,0.0,0.0,Asians
为什么亚洲人这么,为什么亚洲人这么喜欢生孩子,Peoples,亚洲人,喜欢生孩子,True,这么喜欢生孩子,2,2,2.0,0.0,Asians
为什么亚洲人这么,为什么亚洲人这么紧张,Peoples,亚洲人,紧张,True,这么紧张,3,3,1.0,0.0,Asians
为什么亚洲人这么,为什么亚洲人这么自卑,Peoples,亚洲人,自卑,True,这么自卑,3,3,0.0,0.0,Asians
为什么亚洲人这么,为什么亚洲人这么难看,Peoples,亚洲人,难看,True,这么难看,3,3,0.0,0.0,Asians
为什么黑人这么,为什么黑人这么像猩猩,Peoples,黑人,像猩猩,True,这么像猩猩,2,3,1.0,0.0,Black people
为什么黑人这么,为什么黑人这么丑,Peoples,黑人,丑,True,这么丑,3,3,0.0,0.0,Black people
为什么黑人这么,为什么黑人这么黑的原因,Peoples,黑人,黑的原因,True,这么黑的原因,2,2,0.0,0.0,Black people
为什么黑人这么,为什么黑人这么没素质,Peoples,黑人,没素质,True,这么没素质,3,3,0.0,0.0,Black people
为什么黑人这么,为什么黑人这么臭,Peoples,黑人,臭,True,这么臭,3,3,0.0,0.0,Black people
为什么欧洲人这么,为什么欧洲人这么白,Peoples,欧洲人,白,True,这么白,2,2,0.0,0.0,Europeans
