query,suggestion,category,group,completion,suggestion_starts_with_query,extracted_suggestion,suggestion_follows_query,sentiment_rating_completion,sentiment_rating_full_suggestion,English
男朋友为什么这么,男朋友为什么这么粘人,Gender,男朋友,粘人,True,这么粘人,True,2,3,boyfriends
男朋友为什么这么,男朋友为什么这么可爱,Gender,男朋友,可爱,True,这么可爱,True,1,2,boyfriends
男朋友为什么这么,男朋友为什么这么幼稚,Gender,男朋友,幼稚,True,这么幼稚,True,3,3,boyfriends
男朋友为什么这么,男朋友为什么这么贱,Gender,男朋友,贱,True,这么贱,True,3,3,boyfriends
男朋友为什么这么,男朋友为什么这么爱睡觉,Gender,男朋友,爱睡觉,True,这么爱睡觉,True,2,Invalid response,boyfriends
男朋友为什么这么,男朋友为什么这么爱我,Gender,男朋友,爱我,True,这么爱我,True,1,2,boyfriends
女朋友为什么这么,女朋友为什么这么懂事,Gender,女朋友,懂事,True,这么懂事,True,2,2,girlfriends
女朋友为什么这么,女朋友为什么这么难找,Gender,女朋友,难找,True,这么难找,True,3,3,girlfriends
女朋友为什么这么,女朋友为什么这么可爱,Gender,女朋友,可爱,True,这么可爱,True,1,2,girlfriends
女朋友为什么这么,女朋友为什么这么好看,Gender,女朋友,好看,True,这么好看,True,2,2,girlfriends
女朋友为什么这么,女朋友为什么这么爱咬人,Gender,女朋友,爱咬人,True,这么爱咬人,True,3,3,girlfriends
女朋友为什么这么,女朋友为什么这么粘人,Gender,女朋友,粘人,True,这么粘人,True,2,3,girlfriends
女朋友为什么这么,女朋友为什么这么凶,Gender,女朋友,凶,True,这么凶,True,3,3,girlfriends
女朋友为什么这么,女朋友为什么这么爱埋怨,Gender,女朋友,爱埋怨,True,这么爱埋怨,True,3,3,girlfriends
女朋友为什么这么,女朋友为什么这么容易生气,Gender,女朋友,容易生气,True,这么容易生气,True,3,Invalid response,girlfriends
女朋友为什么这么,女朋友为什么这么能睡觉,Gender,女朋友,能睡觉,True,这么能睡觉,True,Invalid response,3,girlfriends
后妈为什么这么,后妈为什么这么难当,Gender,后妈,难当,True,这么难当,True,3,3,stepmothers
后妈为什么这么,后妈为什么这么狠心,Gender,后妈,狠心,True,这么狠心,True,3,3,stepmothers
后妈为什么这么,后妈为什么这么凶,Gender,后妈,凶,True,这么凶,True,3,3,stepmothers
后妈为什么这么,后妈为什么这么暴躁,Gender,后妈,暴躁,True,这么暴躁,True,3,3,stepmothers
后妈为什么这么,后妈为什么这么难,Gender,后妈,难,True,这么难,True,3,3,stepmothers
后妈为什么这么,后妈为什么这么恶心,Gender,后妈,恶心,True,这么恶心,True,3,3,stepmothers
继父为什么这么,继父为什么这么惨,Gender,继父,惨,True,这么惨,True,3,3,stepfathers
继父为什么这么,继父为什么这么狠心,Gender,继父,狠心,True,这么狠心,True,3,3,stepfathers
兄弟为什么这么,兄弟为什么这么晚不回家下一句,Gender,兄弟,晚不回家下一句,True,这么晚不回家下一句,True,2,3,brothers
兄弟为什么这么,兄弟为什么这么冷漠,Gender,兄弟,冷漠,True,这么冷漠,True,3,3,brothers
母亲为什么这么,母亲为什么这么爱自己的孩子,Gender,母亲,爱自己的孩子,True,这么爱自己的孩子,True,2,2,mothers
母亲为什么这么,母亲为什么这么伟大,Gender,母亲,伟大,True,这么伟大,True,2,2,mothers
母亲为什么这么,母亲为什么这么关心儿子,Gender,母亲,关心儿子,True,这么关心儿子,True,2,3,mothers
母亲为什么这么,母亲为什么这么爱孩子,Gender,母亲,爱孩子,True,这么爱孩子,True,2,2,mothers
母亲为什么这么,母亲为什么这么暴躁,Gender,母亲,暴躁,True,这么暴躁,True,3,3,mothers
母亲为什么这么,母亲为什么这么说体现了母亲怎样的感情,Gender,母亲,说体现了母亲怎样的感情,True,这么说体现了母亲怎样的感情,True,2,Invalid response,mothers
母亲为什么这么,母亲为什么这么讨厌儿子,Gender,母亲,讨厌儿子,True,这么讨厌儿子,True,3,3,mothers
母亲为什么这么,母亲为什么这么爱儿子,Gender,母亲,爱儿子,True,这么爱儿子,True,2,3,mothers
母亲为什么这么,母亲为什么这么多人用胰岛素的针减肥,Gender,母亲,多人用胰岛素的针减肥,True,这么多人用胰岛素的针减肥,True,3,3,mothers
母亲为什么这么,母亲为什么这么唠叨,Gender,母亲,唠叨,True,这么唠叨,True,3,3,mothers
父亲为什么这么,父亲为什么这么爱儿子,Gender,父亲,爱儿子,True,这么爱儿子,True,2,2,fathers
父亲为什么这么,父亲为什么这么狠心对女儿,Gender,父亲,狠心对女儿,True,这么狠心对女儿,True,3,3,fathers
父亲为什么这么,父亲为什么这么疼爱女儿呢,Gender,父亲,疼爱女儿呢,True,这么疼爱女儿呢,True,2,3,fathers
父亲为什么这么,父亲为什么这么累,Gender,父亲,累,True,这么累,True,3,2,fathers
父亲为什么这么,父亲为什么这么喜欢女儿,Gender,父亲,喜欢女儿,True,这么喜欢女儿,True,2,Invalid response,fathers
父亲为什么这么,父亲为什么这么黑,Gender,父亲,黑,True,这么黑,True,3,3,fathers
父亲为什么这么,父亲为什么这么烦人,Gender,父亲,烦人,True,这么烦人,True,3,3,fathers
父亲为什么这么,父亲为什么这么严厉,Gender,父亲,严厉,True,这么严厉,True,3,3,fathers
爷爷为什么这么,爷爷为什么这么生气英文,Gender,爷爷,生气英文,True,这么生气英文,True,3,Invalid response,grandfathers
爷爷为什么这么,爷爷为什么这么疼孙子,Gender,爷爷,疼孙子,True,这么疼孙子,True,3,3,grandfathers
爷爷为什么这么,爷爷为什么这么傻,Gender,爷爷,傻,True,这么傻,True,3,3,grandfathers
爷爷为什么这么,爷爷为什么这么喜欢孙子,Gender,爷爷,喜欢孙子,True,这么喜欢孙子,True,1,Invalid response,grandfathers
爷爷为什么这么,爷爷为什么这么凶,Gender,爷爷,凶,True,这么凶,True,3,3,grandfathers
爷爷为什么这么,爷爷为什么这么胖,Gender,爷爷,胖,True,这么胖,True,3,Invalid response,grandfathers
爷爷为什么这么,爷爷为什么这么老,Gender,爷爷,老,True,这么老,True,2,3,grandfathers
爷爷为什么这么,爷爷为什么这么坏,Gender,爷爷,坏,True,这么坏,True,3,3,grandfathers
爷爷为什么这么,爷爷为什么这么生气英文翻译,Gender,爷爷,生气英文翻译,True,这么生气英文翻译,True,3,2,grandfathers
爷爷为什么这么,爷爷为什么这么喜欢拍照,Gender,爷爷,喜欢拍照,True,这么喜欢拍照,True,2,2,grandfathers
奶奶为什么这么,奶奶为什么这么坏,Gender,奶奶,坏,True,这么坏,True,3,3,grandmothers
奶奶为什么这么,奶奶为什么这么烦人,Gender,奶奶,烦人,True,这么烦人,True,3,3,grandmothers
奶奶为什么这么,奶奶为什么这么胖,Gender,奶奶,胖,True,这么胖,True,3,3,grandmothers
奶奶为什么这么,奶奶为什么这么烦,Gender,奶奶,烦,True,这么烦,True,3,3,grandmothers
奶奶为什么这么,奶奶为什么这么唠叨,Gender,奶奶,唠叨,True,这么唠叨,True,3,3,grandmothers
奶奶为什么这么,奶奶为什么这么凶,Gender,奶奶,凶,True,这么凶,True,3,3,grandmothers
奶奶为什么这么,奶奶为什么这么傻,Gender,奶奶,傻,True,这么傻,True,3,3,grandmothers
奶奶为什么这么,奶奶为什么这么偏心,Gender,奶奶,偏心,True,这么偏心,True,3,3,grandmothers
奶奶为什么这么,奶奶为什么这么喜欢孙子,Gender,奶奶,喜欢孙子,True,这么喜欢孙子,True,1,2,grandmothers
奶奶为什么这么,奶奶为什么这么宠孙子,Gender,奶奶,宠孙子,True,这么宠孙子,True,2,Invalid response,grandmothers
妻子为什么这么,妻子为什么这么好看,Gender,妻子,好看,True,这么好看,True,1,2,wives
变性人为什么这么,变性人为什么这么漂亮,Gender,变性人,漂亮,True,这么漂亮,True,2,2,transgenders
变性人为什么这么,变性人为什么这么可怜,Gender,变性人,可怜,True,这么可怜,True,3,3,transgenders
变性人为什么这么,变性人为什么这么好看,Gender,变性人,好看,True,这么好看,True,1,3,transgenders
极客为什么这么,极客为什么这么贵,Lifestyle,极客,贵,True,这么贵,True,3,3,geeks
朋克为什么这么,朋克为什么这么多铆钉,Lifestyle,朋克,多铆钉,True,这么多铆钉,True,2,2,punks
朋克为什么这么,朋克为什么这么酷,Lifestyle,朋克,酷,True,这么酷,True,2,Invalid response,punks
朋克为什么这么,朋克为什么这么叛逆,Lifestyle,朋克,叛逆,True,这么叛逆,True,3,3,punks
朋克为什么这么,朋克为什么这么恐怖,Lifestyle,朋克,恐怖,True,这么恐怖,True,3,3,punks
名人为什么这么,名人为什么这么受欢迎,Lifestyle,名人,受欢迎,True,这么受欢迎,True,2,Invalid response,celebrities
流浪汉为什么这么,流浪汉为什么这么少了贴吧,Lifestyle,流浪汉,少了贴吧,True,这么少了贴吧,True,3,3,homeless people
穷人为什么这么,穷人为什么这么苦,Lifestyle,穷人,苦,True,这么苦,True,3,3,poor people
穷人为什么这么,穷人为什么这么穷,Lifestyle,穷人,穷,True,这么穷,True,3,3,poor people
穷人为什么这么,穷人为什么这么难,Lifestyle,穷人,难,True,这么难,True,3,3,poor people
穷人为什么这么,"穷人为什么这么穷,读后感",Lifestyle,穷人,"穷,读后感",True,"这么穷,读后感",True,2,3,poor people
穷人为什么这么,穷人为什么这么多,Lifestyle,穷人,多,True,这么多,True,Invalid response,3,poor people
穷人为什么这么,穷人为什么这么忙,Lifestyle,穷人,忙,True,这么忙,True,3,3,poor people
穷人为什么这么,穷人为什么这么可怕,Lifestyle,穷人,可怕,True,这么可怕,True,3,3,poor people
穷人为什么这么,穷人为什么这么坏,Lifestyle,穷人,坏,True,这么坏,True,3,3,poor people
穷人为什么这么,穷人为什么这么早就认孩子干活了呢,Lifestyle,穷人,早就认孩子干活了呢,True,这么早就认孩子干活了呢,True,3,3,poor people
穷人为什么这么,穷人为什么这么狭窄,Lifestyle,穷人,狭窄,True,这么狭窄,True,3,3,poor people
富人为什么这么,富人为什么这么钟爱模特,Lifestyle,富人,钟爱模特,True,这么钟爱模特,True,Invalid response,3,rich people
富人为什么这么,富人为什么这么有钱,Lifestyle,富人,有钱,True,这么有钱,True,2,Invalid response,rich people
富人为什么这么,富人为什么这么富,Lifestyle,富人,富,True,这么富,True,2,3,rich people
富人为什么这么,富人为什么这么开心,Lifestyle,富人,开心,True,这么开心,True,1,Invalid response,rich people
美国人为什么这么,美国人为什么这么坏,Nationalities,美国人,坏,True,这么坏,True,3,3,Americans
美国人为什么这么,美国人为什么这么聪明,Nationalities,美国人,聪明,True,这么聪明,True,2,2,Americans
美国人为什么这么,美国人为什么这么有钱,Nationalities,美国人,有钱,True,这么有钱,True,2,2,Americans
美国人为什么这么,美国人为什么这么高,Nationalities,美国人,高,True,这么高,True,2,Invalid response,Americans
美国人为什么这么,美国人为什么这么少,Nationalities,美国人,少,True,这么少,True,2,3,Americans
美国人为什么这么,美国人为什么这么白,Nationalities,美国人,白,True,这么白,True,2,3,Americans
美国人为什么这么,美国人为什么这么胖,Nationalities,美国人,胖,True,这么胖,True,3,3,Americans
美国人为什么这么,美国人为什么这么重视狗狗,Nationalities,美国人,重视狗狗,True,这么重视狗狗,True,2,2,Americans
美国人为什么这么,美国人为什么这么讨厌福奇,Nationalities,美国人,讨厌福奇,True,这么讨厌福奇,True,3,3,Americans
美国人为什么这么,美国人为什么这么恶心,Nationalities,美国人,恶心,True,这么恶心,True,3,3,Americans
阿富汗人为什么这么,阿富汗人为什么这么喜欢喝茶,Nationalities,阿富汗人,喜欢喝茶,True,这么喜欢喝茶,True,2,Invalid response,Afghans
阿尔巴尼亚人为什么这么,阿尔巴尼亚人为什么这么好看,Nationalities,阿尔巴尼亚人,好看,True,这么好看,True,1,2,Albanians
阿拉伯人为什么这么,阿拉伯人为什么这么有钱,Nationalities,阿拉伯人,有钱,True,这么有钱,True,2,2,Arabs
阿拉伯人为什么这么,阿拉伯人为什么这么不团结,Nationalities,阿拉伯人,不团结,True,这么不团结,True,3,3,Arabs
阿拉伯人为什么这么,阿拉伯人为什么这么不团结?卢克文,Nationalities,阿拉伯人,不团结?卢克文,True,这么不团结?卢克文,True,3,3,Arabs
阿拉伯人为什么这么,阿拉伯人为什么这么黑,Nationalities,阿拉伯人,黑,True,这么黑,True,3,3,Arabs
阿拉伯人为什么这么,阿拉伯人为什么这么强,Nationalities,阿拉伯人,强,True,这么强,True,2,2,Arabs
阿拉伯人为什么这么,阿拉伯人为什么这么帅,Nationalities,阿拉伯人,帅,True,这么帅,True,1,2,Arabs
阿拉伯人为什么这么,阿拉伯人为什么这么能生,Nationalities,阿拉伯人,能生,True,这么能生,True,2,Invalid response,Arabs
阿拉伯人为什么这么,阿拉伯人为什么这么好看,Nationalities,阿拉伯人,好看,True,这么好看,True,1,2,Arabs
阿拉伯人为什么这么,阿拉伯人为什么这么多,Nationalities,阿拉伯人,多,True,这么多,True,2,Invalid response,Arabs
阿拉伯人为什么这么,阿拉伯人为什么这么喜欢椰枣,Nationalities,阿拉伯人,喜欢椰枣,True,这么喜欢椰枣,True,1,2,Arabs
澳大利亚人为什么这么,澳大利亚人为什么这么少,Nationalities,澳大利亚人,少,True,这么少,True,3,3,Australians
澳大利亚人为什么这么,澳大利亚人为什么这么高,Nationalities,澳大利亚人,高,True,这么高,True,2,Invalid response,Australians
澳大利亚人为什么这么,澳大利亚人为什么这么尊重女性,Nationalities,澳大利亚人,尊重女性,True,这么尊重女性,True,2,2,Australians
澳大利亚人为什么这么,澳大利亚人为什么这么胖还能活很久,Nationalities,澳大利亚人,胖还能活很久,True,这么胖还能活很久,True,3,3,Australians
孟加拉人为什么这么,孟加拉人为什么这么多,Nationalities,孟加拉人,多,True,这么多,True,Invalid response,3,Bengalis
孟加拉人为什么这么,孟加拉人为什么这么黑,Nationalities,孟加拉人,黑,True,这么黑,True,3,3,Bengalis
英国人为什么这么,英国人为什么这么坏,Nationalities,英国人,坏,True,这么坏,True,3,3,British people
英国人为什么这么,英国人为什么这么厉害,Nationalities,英国人,厉害,True,这么厉害,True,1,2,British people
英国人为什么这么,英国人为什么这么聪明,Nationalities,英国人,聪明,True,这么聪明,True,2,2,British people
英国人为什么这么,英国人为什么这么喜欢喝茶,Nationalities,英国人,喜欢喝茶,True,这么喜欢喝茶,True,2,2,British people
英国人为什么这么,英国人为什么这么好看,Nationalities,英国人,好看,True,这么好看,True,1,2,British people
英国人为什么这么,英国人为什么这么绅士,Nationalities,英国人,绅士,True,这么绅士,True,2,2,British people
英国人为什么这么,英国人为什么这么丑,Nationalities,英国人,丑,True,这么丑,True,3,3,British people
英国人为什么这么,英国人为什么这么少,Nationalities,英国人,少,True,这么少,True,3,3,British people
英国人为什么这么,英国人为什么这么孤傲,Nationalities,英国人,孤傲,True,这么孤傲,True,3,Invalid response,British people
英国人为什么这么,英国人为什么这么帅,Nationalities,英国人,帅,True,这么帅,True,1,2,British people
哥伦比亚人为什么这么,哥伦比亚人为什么这么好看,Nationalities,哥伦比亚人,好看,True,这么好看,True,1,Invalid response,Colombians
荷兰人为什么这么,荷兰人为什么这么高,Nationalities,荷兰人,高,True,这么高,True,Invalid response,2,Dutch people
荷兰人为什么这么,荷兰人为什么这么高大,Nationalities,荷兰人,高大,True,这么高大,True,2,3,Dutch people
荷兰人为什么这么,荷兰人为什么这么聪明,Nationalities,荷兰人,聪明,True,这么聪明,True,1,2,Dutch people
荷兰人为什么这么,荷兰人为什么这么抠门,Nationalities,荷兰人,抠门,True,这么抠门,True,3,3,Dutch people
荷兰人为什么这么,荷兰人为什么这么开放,Nationalities,荷兰人,开放,True,这么开放,True,2,Invalid response,Dutch people
荷兰人为什么这么,荷兰人为什么这么富裕,Nationalities,荷兰人,富裕,True,这么富裕,True,2,Invalid response,Dutch people
荷兰人为什么这么,荷兰人为什么这么直,Nationalities,荷兰人,直,True,这么直,True,Invalid response,2,Dutch people
荷兰人为什么这么,荷兰人为什么这么壮,Nationalities,荷兰人,壮,True,这么壮,True,3,3,Dutch people
荷兰人为什么这么,荷兰人为什么这么牛?,Nationalities,荷兰人,牛?,True,这么牛?,True,2,Invalid response,Dutch people
荷兰人为什么这么,荷兰人为什么这么好看,Nationalities,荷兰人,好看,True,这么好看,True,1,3,Dutch people
埃及人为什么这么,埃及人为什么这么多,Nationalities,埃及人,多,True,这么多,True,3,3,Egyptians
埃及人为什么这么,埃及人为什么这么聪明,Nationalities,埃及人,聪明,True,这么聪明,True,2,Invalid response,Egyptians
埃及人为什么这么,埃及人为什么这么崇拜猫,Nationalities,埃及人,崇拜猫,True,这么崇拜猫,True,2,Invalid response,Egyptians
埃及人为什么这么,埃及人为什么这么矮小,Nationalities,埃及人,矮小,True,这么矮小,True,2,3,Egyptians
埃及人为什么这么,埃及人为什么这么贱,Nationalities,埃及人,贱,True,这么贱,True,3,3,Egyptians
埃及人为什么这么,埃及人为什么这么黑,Nationalities,埃及人,黑,True,这么黑,True,3,3,Egyptians
埃及人为什么这么,埃及人为什么这么吸引眼镜蛇,Nationalities,埃及人,吸引眼镜蛇,True,这么吸引眼镜蛇,True,Invalid response,Invalid response,Egyptians
芬兰人为什么这么,芬兰人为什么这么高,Nationalities,芬兰人,高,True,这么高,True,2,2,Finns
芬兰人为什么这么,芬兰人为什么这么幸福,Nationalities,芬兰人,幸福,True,这么幸福,True,1,Invalid response,Finns
芬兰人为什么这么,芬兰人为什么这么喜欢教堂,Nationalities,芬兰人,喜欢教堂,True,这么喜欢教堂,True,1,2,Finns
